"ID","Ref_Short","Ref_Long","Type"
"42","Brunner","Brunner, Hugo, &#60;q&#62;Beiträge zur Geschichte der Schiffahrt in Hessen, besonders auf der Fulda&#60;/q&#62;, &#60;cite&#62;Zeitschrift des Vereins für Hessische Geschichte und Landeskunde&#60;/cite&#62; N.F. 16 (1891), 202-243.",
"44","Maack 1970","Maack, Walter, &#60;cite&#62;Die Rintelner Statuten des 14. bis 16. Jahrhunderts&#60;/cite&#62;, Schaumburger Studien 24 (Rinteln, 1970).",
"46","Fischer 1936","Fischer, Fritz, &#60;cite&#62;Stapelrecht und Schiffahrt der Stadt Münden bis zum Beginn des 18. Jahrhunderts&#60;/cite&#62; (Hann. Münden, 1936)",
"48","Casemir 2003","Casemir, Kerstin, &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil III: Die Ortsnamen des Landkreises Wolfenbüttel und der Stadt Salzgitter&#60;/cite&#62; (Bielefeld 2003).",
"50","Keller 1901","Keller, Hermann, &#60;cite&#62;Weser und Ems, ihre Stromgebiete und ihre wichtigsten Nebenflüsse, Bd. II: Quell- und Nebenflüsse der Weser (ohne Aller)&#60;/cite&#62; (Berlin, 1901).",
"52","Engel 1958","Engel, Franz, &#60;q&#62;Das mittelalterliche Stadthagen und seine zentrale Bedeutung&#60;/q&#62;, &#60;cite&#62;Unsere schaumburg-lippische Heimat. Mitteilungen des Vereins für schaumburg-lippische Geschichte, Altertümer und Landeskunde e. V.&#60;/cite&#62; 13 (1958), 11-51.",
"54","Jäkel 1958","Jäkel, Kurt, &#60;q&#62;Rechtsentwicklung Stadthagens bis zur Formulierung des Stadtrechts 1344&#60;/q&#62;, &#60;cite&#62;Unsere schaumburg-lippische Heimat. Mitteilungen des Vereins für schaumburg-lippische Geschichte, Altertümer und Landeskunde e. V.&#60;/cite&#62; 13 (1958), 51-86.",
"56","Brosius 1972","Brosius, Dieter, &#60;cite&#62;Das Stift Obernkirchen 1167-1565&#60;/cite&#62; (Bückeburg, 1972).",
"58","Kölling 1956","Kölling, Friedrich, &#60;cite&#62;Hessisch Oldendorf. 700 Jahre Entwicklung einer niedersächsischen Kleinstadt&#60;/cite&#62; (Rinteln, 1956).",
"60","Keyser 1952","Keyser, Erich (ed.), &#60;cite&#62;Niedersächsisches Städtebuch&#60;/cite&#62;, Deutsches Städtebuch Bd. III (Stuttgart 1952).","secondary"
"62","Ohainski; Udolph 1998","Ohainski, Uwe; Udolph, Jürgen, &#60;cite&#62; Niedersächsisches Ortsnamenbuch, Teil I: Die Ortsnamen des Landkreises und der Stadt Hannover&#60;/cite&#62; (Bielefeld, 1998).","secondary"
"64","Korsmeier 2001","Korsmeier, Claudia Maria, &#60;cite&#62;Die Ortsnamen der Stadt Münster und des Kreises Warendorf&#60;/cite&#62;, Westfälisches Ortsnamenbuch, 3&#60;/cite&#62;, ed. by  Kirstin Casemir and Jürgen Udolph (Bielefeld 2011)","secondary"
"66","Flöer 2013","Flöer, Michael, &#60;cite&#62;Die Ortsnamen des Hochsauerlandkreises&#60;/cite&#62; (Bielefeld 2013)",
"68","Ohainski; Udolph 2000","Ohainski, Uwe; Udolph, Jürgen (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil II: Die Ortsnamen des Landkreises Osterode&#60;/cite&#62; (Bielefeld, 2000)",
"70","Casemir 2003","Casemir, Kirstin (ed.), &#60;cite&#62; Niedersächsisches Ortsnamenbuch, Teil IV: Die Ortsnamen des Landkreises Göttingen &#60;/cite&#62; (Bielefeld 2003)","secondary"
"72","Casemir; Menzel 2005","Casemir, Kirstin; Menzel, Franziska (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil V: Die Ortsnamen des Landkreises Northeim&#60;/cite&#62; (Bielefeld, 2005)",
"74","Flöer; Korsmeier 2009","Flöer, Michael; Korsmeier, Claudia Maria (ed.), &#60;cite&#62;Westfälisches Ortsnamenbuch, Teil I: Die Ortsnamen des Kreises Soest&#60;/cite&#62; (Bielefeld 2009)","secondary"
"76","Herbst 1926","Herbst, Albert, &#60;cite&#62;Die alten Heer- und Handelsstraßen Südhannovers und angrenzender Gebiete&#60;/cite&#62; (Göttingen 1926).","secondary"
"78","Streich 1996","Streich, Gerhard, &#60;q&#62;Altstraßen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Höxter&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1996), 157-160.",
"80","Casemir; Ohainski 2016","Casemir, Kirstin; Ohainski, Uwe, &#60;cite&#62;Die Ortsnamen des Kreises Höxter&#60;/cite&#62; (Bielefeld 2016).",
"82","Koch 2015","Koch, Michael, &#60;q&#62;Die Landwehr um Höxter - zum Nutzen des ganzen Landes&#60;/q&#62;, in &#60;cite&#62;Hoxter. Geschichte einer westfälischen Stadt, Bd. 2: Höxter und Corvey im Spätmittelalter&#60;/cite&#62;, ed. by Michael Koch, Andreas König and Gerhard Streich (Paderborn 2015), 164-190.",
"84","König, Rabe, Streich 2003","König, Andreas; Rabe, Holger; Streich, Gerhard, &#60;cite&#62;Höxter. Geschichte einer westfälischen Stadt, Bd. 1: Höxter und Corvey im Früh- und Hochmittelalter&#60;/cite&#62; (Hannover 2003).",
"86","Streich 2015","Streich, Gerhard, &#60;q&#62;Heiligenberg und seine Dörfer Bosseborn, Ovenhausen und Lütmarsen&#60;/q&#62;, in &#60;cite&#62;Hoxter. Geschichte einer westfälischen Stadt, Bd. 2: Höxter und Corvey im Spätmittelalter&#60;/cite&#62;, ed. by Michael Koch, Andreas König and Gerhard Streich (Paderborn 2015), 622-636.",
"88","Rüthing 1986","Rüthing, Heinrich, &#60;cite&#62;Höxter um 1500: Analyse einer Stadtgesellschaft&#60;/cite&#62; (Paderborn 1986).",
"90","Streich, Koch, König 2015","Streich, Gerhard; Koch, Michael; König, Andreas, &#60;q&#62;Aspekte der Wirtschafts- und Sozialgeschichte&#60;/q&#62;, in &#60;cite&#62;Höxter. Geschichte einer westfälischen Stadt, Bd. 2: Höxter und Corvey im Spätmittelalter&#60;/cite&#62; (Paderborn 2015), 423-449.",
"96","Casemir; Ohainski 2007","Casemir; Kirsten; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil VI: Die Ortsnamen des Landkreises Holzminden&#60;/cite&#62; (Bielefeld, 2007)","secondary"
"118","Casemir; Ohainski 2017","Casemir, Kirstin; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil VIII: Die Ortsnamen des Landkreises Peine&#60;/cite&#62; (Bielefeld 2017)","secondary"
"120","Wintzigeroda-Knorr 1903","Wintzingeroda-Knorr, Levin Freiherr von, &#60;cite&#62;Die Wüstungen des Eichsfeldes&#60;/cite&#62; (Halle 1903; reprint Duderstadt 1995)",
"122","Kohl 1991","Kohl, Willy, &#60;q&#62;Vechta unter münsterischer Herrschaft (1252-1803)&#60;/q&#62;, in Wilhelm Hanisch, Franz Hellbernd, Joachim Kuropka (eds.), &#60;cite&#62;Beiträge zur Geschichte der Stadt Vechta&#60;/cite&#62;, Bd. 1 (Vechta 1975-1991), 63-96.",
"124","Hanisch 1991","Hanisch, Wilhelm, &#60;q&#62;Vechta unter den Ravensbergern&#60;/q&#62;, in Wilhelm Hanisch, Franz Hellbernd, Joachim Kuropka (eds.), &#60;cite&#62;Beiträge zur Geschichte der Stadt Vechta&#60;/cite&#62;, Bd. 1 (Vechta 1975-1991), 43-62.",
"126","Landau 1837","Landau, Georg, &#60;q&#62;Einiges über Weserzölle und Weserhandel im 16&#60;sup&#62;ten&#60;/sup&#62; Jahrhundert&#60;/q&#62;, in &#60;cite&#62;Zeitschrift des Vereins für hessische Geschichte und Landeskunde&#60;/cite&#62; 1 (1837), 165-169.",
"130","Holterman 2019","Blbla",
"132","Holterman 2019","Blbla",
"134","Streich, Reuschel 1996","Streich, Gerhard, Reuschel, Andreas, &#60;q&#62;Städtische Siedlung&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Höxter&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1996), 46-66.",
"136","Junge 1983","Junge, Walter, &#60;cite&#62;Chronik des Fleckens Bodenfelde. Von den Anfängen bis zur Gegenwart&#60;/cite&#62; (Bodenfelde 1983).",
"138","Meyer 1997","Meyer, Gerhard, &#60;q&#62;Ältere Gewerbe und Industrien des 19. und 20. Jahrhunderts&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 108-114.",
"140","Meyer 1997","Meyer, Gerhard, &#60;q&#62;Städtische Siedlungen&#60;/q&#62;, in &#60;cite&#62; Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 65-80.",
"142","Lilge 1997","Lilge, Andreas, &#60;q&#62;Ländliche Siedlungen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 29-43.",
"144","Köhler 2010","Köhler, Michael, &#60;cite&#62;Thüringer Burgen und befestigte vor- und frühgeschichtliche Wohnplätze&#60;/cite&#62;, 3rd edition (Jena 2010).",
"146","Hellbernd 1974","Hellbernd, Franz, &#60;q&#62;Stoppelmarkt in Vechta. Die Vechtaer Märkte im Wandel der Jahrhunderte&#60;q&#62;, in &#60;cite&#62;Beiträge zur Geschichte der Stadt Vechta, Band II&#60;/cite&#62;, ed. by Wilhelm Hanisch and Franz Hellbernd (Vechta 1974), 123-310.",
"148","Casemir, Udolph 2011","Casemir, Kirstin; Udolph, Jürgen (ed.),&#60;cite&#62;Westfälisches Ortsnamenbuch, Teil IV: Die Ortsnamen des Kreises Herford&#60;/cite&#62; (Bielefeld, 2011).",
"150","Leiber 1997","Leiber, Christian, &#60;q&#62;Wallanlagen und Burgen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Holzminden&#60;/cite&#62;, ed. by Gerhard Streich (Bielefeld 1997), 81-90.",
"152","Knoke 2003","Knoke, Horst, &#60;cite&#62;Hamelner Wasserbauwerke an der Weser: Die Geschichte der Schleusen und Wehre, der Münsterbrücke und des Hafens &#60;/cite&#62; (Bielefeld 2003).",
"154","Pischke 2000","Pischke, Gudrun, &#60;q&#62;Die Weserstädte im Mittelalter&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa: Leuchtendes Mittelalter&#60;/cite&#62;, ed. by Norbert Humburg (Holzminden 2000), 38-53.",
"156","Casemir; Menzel; Ohainski 2011","Casemir, Kirstin; Menzel, Franziska; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil VII: Die Ortsnamen des Landkreises Helmstedt und der Stadt Wolfsburg&#60;/cite&#62; (Bielefeld 2011)","secondary"
"158","Peters 1913","Peters, A., &#60;cite&#62;Die Geschichte der Schiffahrt auf der Aller, Leine und Oker bis 1618&#60;/cite&#62; (Hannover 1913).",
"160","Meineke 2013","Meineke, Birgit (ed.),&#60;cite&#62;Westfälisches Ortsnamenbuch, Teil V: Die Ortsnamen der Stadt Bielefeld&#60;/cite&#62; (Bielefeld 2013)",
"162","Keyser; Stoob 1954","Keyser, Erich; Stoob, Heinz (eds.), &#60;cite&#62;Westfälisches Städtebuch&#60;/cite&#62;, Deutsches Städtebuch Bd. 3:2 (Stuttgart 1954).","secondary"
"164","Schneider 1936","Schneider, Heinrich, &#60;cite&#62;Die Ortschaften der Provinz Westfalen bis zum Jahre 1300. Nach urkundlichen Zeugnissen und geschichtlichen Nachrichten&#60;/cite&#62; (Münster 1936).",
"166","Meineke 2010","Meineke, Birgit, &#60;cite&#62;Westfälisches Ortsnamenbuch. Teil II. Die Ortsnamen des Kreises Lippe&#60;/cite&#62; (Bielefeld 2010).",
"168","Berner 1954","Berner, Hans, &#60;cite&#62;Das Amt Ohsen&#60;/cite&#62; (Göttingen 1954).",
"170","Gerke 2001","Gerke, Wilfried, &#60;q&#62;Der Dreyer Zoll. Eine historische Stätte im Norden des Landkreises Diepholz&#60;/q&#62;, &#60;cite&#62;Heimatblätter des Landkreises Diepholz&#60;/cite&#62; 20 (2001/2004), 143.",
"172","Gerke 2004","Gerke, Wilfried, &#60;q&#62;Diepholz um 1300. Versuch der Rekonstruktion einer Zeit / Vom Leben im Mittelalter&#60;/q&#62;, &#60;cite&#62;Heimatblätter des Landkreises Diepholz&#60;/cite&#62; 21 (2004-2007), 49.",
"174","Korinth 2000","Korinth, Dirk, &#60;q&#62;Güter auf dem Fluß&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa, Bd. 2: Aufbruch in die Neuzeit&#60;/cite&#62;, ed. by José Kastler and Vera Lüpkes (Holzminden 2000), 150-155.",
"176","Weidinger 2000","Weidinger, Ulrich, &#60;q&#62;Häfen und Schlachten&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa, Bd. 2: Aufbruch in die Neuzeit&#60;/cite&#62;, ed. by José Kastler and Vera Lüpkes (Holzminden 2000), 114-127.",
"178","Weidinger 1997","Weidinger, Ulrich, &#60;cite&#62;Mit Koggen zum Marktplatz. Bremens Hafenstrukturen vom frühen Mittelalter bis zum Beginn der Industrialisierung&#60;/cite&#62; (Bremen 1997).",
"180","Schwarzwälder 2000","Schwarzwälder, Herbert, &#60;q&#62;Reisende auf der Weser&#60;/q&#62;, in &#60;cite&#62;Die Weser. EinFluss in Europa, Bd. 2: Aufbruch in die Neuzeit&#60;/cite&#62; (Holzminden 2000), 204-215.",
"182","Lutosch 1983","Lutosch, Gerhard, &#60;cite&#62;Die Siedlungsnamen des Landkreises Diepholz. Ihr Alter und ihre Bedeutung&#60;/cite&#62; (Syke 1983).",
"184","Spanuth 1939","Spanuth, Heinrich, &#60;cite&#62;Geschichte der Stadt Hameln. Von den Anfängen bis zur Reformationszeit&#60;/cite&#62; (Hameln 1939).",
"186","Henkel 1907","Henkel, Adolf, &#60;q&#62;Die Saline Sooden a.d. Werra unter den Landgrafen Philipp dem Großmütigen und Wilhelm IV.&#60;/q&#62;, &#60;cite&#62;Zeitschrift des Vereins für hessische Geschichte und Landeskunde&#60;/cite&#62; 41 (1907), 1-67.",
"188","Heine 1985","Heine, Hans-Wilhelm, &#60;q&#62;Ur- und frühgeschichtliche sowie mittelalterliche Wehranlagen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Stadthagen&#60;/cite&#62;, ed. by Dieter Brosius (Hildesheim, 1985), 50-63.",
"190","Brosius 1985","Brosius, Dieter, &#60;q&#62;Städtische Siedlungen&#60;/q&#62;, in &#60;cite&#62;Historisch-Landeskundliche Exkursionskarte von Niedersachsen, Blatt Stadthagen&#60;/cite&#62;, ed. by Dieter Brosius (Hildesheim, 1985), 41-49.",
"192","Nordsiek 2017","Nordsiek, Hans, &#60;q&#62;Minden an der Weser. Stadtentwicklung, Stadtautonomie und Stadtherrschaft von den Anfängen bis 1806&#60;/q&#62;, &#60;cite&#62;Mitteilungen des Mindener Geschichtsvereins&#60;/cite&#62; 89 (2017), 7-94.",
"194","Behr 1977","Behr, Hans-Joachim, &#60;q&#62;Vom Ende des Mindener Stapels&#60;/q&#62;, in &#60;cite&#62;Zwischen Dom und Rathaus. Beiträge zur Kunst- und Kulturgeschichte der Stadt Minden&#60;/cite&#62; (Minden, 1977), 233-248.",
"196","Rothe; Rüthing 1989","Rothe, Jörg Michael; Rüthing, Heinrich, &#60;q&#62;Der &#34;edle Strom&#34;. Daten, Beobachtungen und Überlegungen zur wirtschaftlichen Entwicklung des Weserraumes von der Mitte des 16. Jahrhunderts bis zum dreißigjährigen Krieg&#60;/q&#62;, in &#60;cite&#62;Renaissance im Weserraum, Bd. 2: Aufsätze&#60;/cite&#62;, ed. by Georg Ulrich Großmann (München, 1989), 44-70.","secondary"
"198","Möller 1992","Möller, Petra, &#60;q&#62;Beobachtungen zum Getreidehandel im Weserraum&#60;/q&#62;, in &#60;cite&#62;Der Weserraum zwischen 1500 und 1600: Gesellschaft, Wirtschaft und Kultur in der frühen Neuzeit&#60;/cite&#62;, ed. by Thomas Schwark (Marburg, 1992), 115-141.",
"200","Weidinger 1998","Weidinger, Ulrich, &#60;q&#62;Strukturprobleme und Zäsuren in der Hafenentwicklung Bremens im Spätmittelalter und in der frühen Neuzeit&#60;/q&#62;, &#60;cite&#62;Niedersächsisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 70 (1998), 35-52.",
"202","Pezold 1998","Pezold, Johann Dietrich von, &#60;q&#62;Das Stapelrecht der Stadt Münden 1247-1824. Ein erster Überblick&#60;/q&#62;, &#60;cite&#62;Niedersächsisches Jahrbuch für Landesgeschichte&#60;/cite&#62; 70 (1998), 52-71.",
"204","Löbe 1969","Löbe, Karl, &#60;cite&#62;Das Weserbuch. Roman eines Flusses&#60;/cite&#62;, 2nd ed. (Hameln 1969).",
"206","Tacke 1943","Tacke, Eberhard, &#60;cite&#62;Die Entwicklung der Landschaft im Solling. Ein Beitrag zur Wirtschaftsgeschichte und zur Geschichte der Siedlungsplanung in Niedersachsen&#60;/cite&#62; (Oldenburg, 1943).",
"208","Pieper 2006","Pieper, Gerhard, &#60;cite&#62;Die Festung Hameln. Geschichte, Bauwerke und Institutionen&#60;/cite&#62;, 2nd ed. (Hameln 2006).",
"210","Meineke 2013","Meineke, Birgit (ed.),&#60;cite&#62;Westfälisches Ortsnamenbuch, Teil V: Die Ortsnamen der Stadt Bielefeld&#60;/cite&#62; (Bielefeld 2013)",
"212","Fricke 1985","Fricke, Ludwig, &#60;cite&#62;Latferde&#60;/cite&#62; (1985).",
"214","Dörries 1929","Dörries, Hans, &#60;cite&#62;Entstehung und Formenbildung der niedersächsischen Stadt. Eine vergleichende Städtegeographie&#60;/cite&#62; (Stuttgart 1929).",
"216","Cox 2012","Cox, Joost C.M., &#60;cite&#62; Repertorium van de stadsrechten in Nederland &#60;/cite&#62;, Werken van de Stichting tot Uitgaaf der Bronnen van het Oud-Vaderlandse Recht 33 (Oisterwijk, 2012, 2nd ed.), online updated edition at &#60;a href=&#34;https://www.universiteitleiden.nl/binaries/content/assets/geesteswetenschappen/institute-for-history/repertorium-stadsrechten.pdf&#34;&#62;https://www.universiteitleiden.nl/binaries/content/assets/geesteswetenschappen/institute-for-history/repertorium-stadsrechten.pdf&#60;/a&#62;","archive"
"218","Gade 1870","Gade, Heinrich, &#60;q&#62;Geschichte des Fleckens Stolzenau&#60;/q&#62;, &#60;cite&#62;Zeitschrift des historischen Vereins für Niedersachsen&#60;/cite&#62; (1870), 235-344","secondary"
"220","Tribbe 1460","Löffler, Klemens (ed.), &#60;cite&#62;Des Domherrn Heinrich Tribbe Beschreibung von Stadt und Stift Minden (um 1460)&#60;/cite&#62;, Mindener Geschichtsquellen II (Münster 1932).",
"222","Dobbertin 1989","Dobbertin, Hans, &#60;q&#62;Großenwieden im Mittelalter&#60;/q&#62;, &#60;cite&#62;Heimatblätter Hessisch Oldendorf&#60;/cite&#62; 4 (1989), 9-13.",
"224","Berner 1952","Berner, Hans, &#60;cite&#62;Das Amt Grohnde&#60;/cite&#62; (Göttingen 1952).",
"226","Berner 1953","Berner, Friedrich, &#60;q&#62;Die Landwehr der Stadt&#60;/q&#62;, &#60;cite&#62;Der Klüt&#60;/cite&#62; (1953), 81-93.",
"228","Dürre 1861","Dürre, Hermann, &#60;cite&#62;Geschichte der Stadt Braunschweig im Mittelalter&#60;/cite&#62; (Braunschweig 1861).",
"230","Henn 2009","Henn, Volker, &#60;q&#62;Jahrmärkte und Messen im Weser-Elbe-Raum im späten Mittelalter&#60;/q&#62;, in Volker Henn, &#60;cite&#62;Aus rheinischer, westfälischer und hansischer Geschichte&#60;/cite&#62;, ed. by Franz Irsigler (Trier, 2009), 325-348.","secondary"
"232","Sack 1841","Sack, C.W., &#60;cite&#62;Alterthümer der Stadt und des Landes Braunschweig&#60;/cite&#62; (Braunschweig, 1841).",
"234","Brübach 1994","Brübach, Nils, &#60;cite&#62;Die Reichsmessen von Frankfurt am Main, Leipzig und Braunschweig (14. - 18. Jahrhundert)&#60;/cite&#62;, Beiträge zur Wirtschafts- und Sozialgeschichte 55 (Stuttgart, 1994).",
"236","Bippen 1892","Bippen, Wilhelm von, &#60;cite&#62;Geschichte der Stadt Bremen, Bd. 1&#60;/cite&#62; (Bremen, 1892).",
"238","Bodemann 1883","Bodemann, Eduard (ed.), &#60;cite&#62;Die älteren Zunfturkunden der Stadt Lüneburg&#60;/cite&#62; (Hannover, 1883).",
"240","Spiess 1966","Spiess, Werner, &#60;cite&#62;Geschichte der Stadt Braunschweig im Nachmittelalter, Bd. 1: vom Ausgang des Mittelalters bis zum Ende der Stadtfreiheit (1491 - 1671)&#60;/cite&#62; (Braunschweig 1966).",
"242","Erhard 1836","Erhard, H.A., &#60;q&#62;Diplomatische Geschichte des Erfurthischen Handels- und Gewerb-Wesens älterer Zeiten&#60;/q&#62;, in &#60;cite&#62;Neues allgemeines Archiv für die Geschichtskunde des Preusischen Staates&#60;/cite&#62;, Bd. 1, ed. by Leopold von Ledebur (Berlin, 1836), 196-236.",
"244","Holbach 2001","Holbach, Rudolf, &#60;q&#62;Jahrmärkte und Handelsbeziehungen zwischen Weser und Ems im späten Mittelalter&#60;/q&#62;, in &#60;cite&#62;Landesgeschichte als multidisziplinäre Wissenschaft. Festgabe für Franz Irsigler zum 60. Geburtstag&#60;/cite&#62;, ed. by Dietrich Ebeling et al. (Trier, 2001), 223-268.","secondary"
"246","Schmidt 1995","Schmidt, Heinrich, &#60;q&#62;650 Jahre Stadt Oldenburg: über Beharrung und Wandel in der oldenburgischen Stadtgeschichte&#60;/q&#62;, &#60;cite&#62;Oldenburger Jahrbuch&#60;/cite&#62; 95 (1995), 31-48.",
"248","Müller 1992","Müller, Siegfried, &#60;q&#62;Die Bürgerstadt&#60;/q&#62;, in &#60;cite&#62;Geschichte der Stadt Hannover, Bd. 1: von den Anfängen bis zum Beginn des 19. Jahrhunderts&#60;/cite&#62;, ed. by Klaus Mlynek and Waldemar R. Röhrbein (Hannover, 1992), 67-135.",
"250","Plath 1992","Plath, Helmut, &#60;q&#62;Die Frühgeschichte&#60;/q&#62;, in &#60;cite&#62;Geschichte der Stadt Hannover, Bd. 1: Von den Anfängen bis zum Beginn des 19. Jahrhunderts&#60;/cite&#62;, ed. by Klaus Mlynek and Waldemar R. Röhrbein (Hannover, 1992), 11-66.",
"252","Henn 1996","Henn, Volker, &#60;q&#62;Mißglückte Messegründungen des 14. und 15. Jahrhunderts&#60;/q&#62;, in &#60;cite&#62;Europäische Messen und Märktesysteme in Mittelalter und Neuzeit&#60;/cite&#62;, ed. by Peter Johanek and Heinz Stoob (Cologne, 1996), 205-222.",
"254","Von Lehe 1966","Lehe, Erich von, &#60;cite&#62;Die Märkte Hamburgs von den Anfängen bis in die Neuzeit (1911)&#60;/cite&#62;, Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte, Beiheft 50 (Wiesbaden, 1966).",
"256","Heinze 1894","Heinze, Wilhelm, &#60;cite&#62;Geschichte der Stadt Alfeld. Ein Beitrag zur Heimatkunde&#60;/cite&#62; (Alfeld, 1894).",
"258","Pischke 2014","Pischke, Gudrun, &#60;cite&#62;Hildesheim - von der Domburg zur Grossstadt. Zwölf Jahrhunderte Stadtentwicklung im Kartenbild&#60;/cite&#62; (Hildesheim, 2014).",
"260","Harland 1854","Harland, H.L., &#60;cite&#62;Geschichte der Stadt Einbeck&#60;/cite&#62;, Bd. 1 (Einbeck, 1854).",
"262","Harland 1859","Harland, H. L., &#60;cite&#62;Geschichte der Stadt Einbeck&#60;/cite&#62;, Bd. 2 (Einbeck, 1859).",
"264","Denecke, Kühn 2005","Denecke, Dietrich, and Helga-Maria Kühn eds., &#60;cite&#62;Göttingen. Geschichte einer Universitätsstadt, Bd. 1: Von den Anfängen bis zum Ende des Dreißigjährigen Krieges&#60;/cite&#62; (Göttingen, 2005).","secondary"
"266","Keyser; Stoob 1957","Keyser, Erich; Stoob, Heinz (eds.), &#60;cite&#62;Hessisches Städtebuch&#60;/cite&#62;, Deutsches Städtebuch 4:1 (Stuttgart, 1957)","secondary"
"270","Zwahr 1999","Zwahr, Hartmut, &#60;q&#62;Die Messe in ihrem Gestaltwandel&#60;/q&#62;, in &#60;cite&#62;Leipzigs Messen 1497-1997: Gestaltwandel - Umbrüche - Neubeginn, Teilband 1: 1497-1914&#60;/cite&#62;, ed. by Ulrich von Hehl et al. (Cologne, Weimar, Vienna, 1999), 21-32.",
