"ID","Nodes_ID","Language","Pertains_To","Description"
"60","43","DE","settlement","Wartturm der Einbecker Landwehr, unweit des ehemaligen Dorfes Reinsen, 1407 erbaut. Er wird erstmals 1454 erwähnt; 1800 abgerissen."
"62","44","DE","settlement","Am Sülberg bei Strodthagen befand sich ein Gaugerichtsplatz, der später in das Dorf verlegt wurde und da noch im 16. Jh. als fürstliches Untergericht erwähnt wird."
"64","46","DE","settlement","Wartturm, vom Herzog Otto dem Quaden von Braunschweig zwischen 1383 und 1394 errichtet."
"66","47","DE","settlement","Erstmals 1002-1003 belegt. Es gab hier einen Königshof und ab 1158 eine Burg der Herzöge von Braunschweig-Lüneburg."
"68","50","DE","settlement","Ersterwähnung in der Zeit Kaiser Konrads II. (1024-1039) als ""predium"" (Landgut). Vor 1085 wurde das Alexanderstift gegründet. Südlich davon entwickelte sich im späten 12. Jh. eine Martksiedlung."
"70","52","DE","settlement","Warte der Göttinger Landwehr auf dem Diemardener Berg, 1409 errichtet. Der Turm existiert noch."
"72","53","DE","settlement","Erstmals erwähnt im 8. oder 9. Jahrhundert als ""Lengidi"". Anfangs gab es nur Lengden, ab 1022 wurde zwischen Groß- und Klein Lengden unterschieden."
"74","55","DE","settlement","Diese erstmalige Erwähnung findet sich in einer gefälschten Urkunde des 12. Jhs."
"76","58","DE","settlement","Warte in der Landwehr von Heiligenstadt. Hier fanden die Landtage des Eichsfeldes statt. Abgerissen im dritten Jahrzehnt des 19. Jahrhunderts."
"78","59","DE","settlement","Im 9. und 10. Jahrhundert als Missionsstützpunkt und fränkischer Königshof gegründet. Im 11. Jahrhundert Marktrecht."
"82","76","DE","settlement","Gutshaus, erstmals 1551 erwähnt. "
"84","79","DE","settlement","Erstmals 966 als Echeim erwähnt."
"86","86","DE","settlement","Der Königshof Aderstedt gelangt 1063 an das Bistum Halberstadt und 1086 in den Besitz des Klosters Ilsenburg."
"88","89","DE","settlement","Burg der Herren von Everstein, erstmals um 1200 erwähnt. 1293 ist erstmals eine Siedlung ('oppidum') bei der Burg genannt, 1589 erhielt sie das Fleckenrecht."
"92","98","DE","settlement","Anfang des 12. Jahrhunderts befand sich hier die Burg der Herren von Diepenheim."
"94","101","DE","settlement","Im frühen 10. Jahrhunderts wurde unter Bischof Liudger vor Ort eine Pfarre gegründet."
"96","102","DE","settlement","Erstmals um 1000 erwähnt. "
"98","103","DE","settlement","Die Belege für frühere Erwähnungen von 826-872 und 1022 gehen auf Fälschungen zurück."
"100","105","DE","settlement","Aufgrund möglicher Verwechslung mit dem nahe gelegenen Ort Arpke, dessen Ortsname auf dieselbe Grundform zurückgeht, ist die erste sichere Erwähnung erst 1406 anzusetzen."
"102","106","DE","settlement","1328 erstmals urkundlich erwähnt. 1397 wurde ein Kartäuserkloster gegeründet. Aufgrund eines Marienbildnisses wurde Ahrensbök im Mittelalter zu einem Wallfahrsort. Das Kloster wurde 1542 säkularisiert, das Dorf 1593 niedergelegt und in ein Vorwerk verwandelt."
"104","112","DE","settlement","Mit dem Namen Waltherus de Aken 1219 erstmalig überliefert. Die askanischen Kurfürsten und die Herzöge von Sachsen hatten hier im Hochmittelalter zwischenzeitlich ihre Residenz. Zudem war Aken ein wichtiges Zentrum der Elbschifffahrt"
"106","114","DE","settlement","Erstmalig im 11. Jahrhundert erwähnt."
"110","116","DE","settlement","1171 erstmals erwähnt. Papst Gregor IX. bestätigt 1230 die Inkorporation der Albersloher Kirche in die Domkantorie Münsters."
"112","120","DE","settlement","Erste Erwähnung in einer womöglich verfälschten Urkunde aus dem letzten Viertel des 11. Jh. Ende des 14. Jahrhunderts befestigt."
"114","121","DE","settlement","Erstmals im 9. Jahrhundert erwähnt. "
"116","122","DE","settlement","Ca. 1019-1022 erstmals erwähnt. Die Siedlung entwickelte sich bei einer Leinefurt, die von einer Burg (erstmals 1358 erwähnt) gesichert wurde."
"118","123","DE","settlement","Erstmals erwähnt im Jahr 977. Um 1350 wurde Alfhusen als 'villa' bezeichnet."
"120","124","DE","settlement","Zwischen 980 und 982 erstmals erwähnt. Der Ort bestand bis in die Neuzeit aus den zwei Teilen Groß und Klein Algermissen."
"122","125","DE","settlement","Das Rittergut wurde 1241 erwähnt."
"124","130","DE","settlement","Erstmals 1269 erwähnt."
"126","134","DE","settlement","Ersterwähnung 1292/96."
"128","137","DE","settlement","Erwähnung 1133 in einer Schenkungsurkunde des Erzbischofs Adalbert I. von Mainz an das Stift Jechaburg."
"130","138","DE","settlement","Das Dorf wurde im 15. Jahrhundert an den Deutschen Orden verkauft und gehörte somit zum Rittergut 'Sommerhusen'."
"132","140","DE","settlement","Seit dem 10. Jahrundert war Allstedt deutsche Königspfalz. Marktgründung zwischen 1323 und 1330."
"134","143","DE","settlement","Das Rittergut wurde 1282 erwähnt."
"136","144","DE","settlement","Der Ort ist aus einer Wasserburg hervorgegangen. "
"138","147","DE","settlement","Die Siedlung entwickelte sich im 8./9. Jahrhundert womöglich aus einem karolingischen Hofsitz. "
"140","148","DE","settlement","Anlage einer Burg und eines Klosters im 10. Jahrhundert. Erstmals 961 erwähnt."
"142","150","DE","settlement","In einer Bestätigungsurkunde Bischof Werners zu Münster 1151 erstmals erwähnt. 1176 dann als Obedienz des Doms zu Münster genannt."
"144","156","DE","settlement","Rittergut. Das Gebiet wird 1226 schon erwähnt, der Hof entstand erst nach 1470."
"146","162","DE","settlement","Erstmals 1160 erwähnt."
"148","170","DE","settlement","Die Burg Wolfsburg an einer Allerübergang wird erstmals 1135 erwähnt, und ab ca. 1300 durch die Familie von Bartensleben ausgebaut."
"150","173","DE","settlement","Der Name wird 1533 erstmals genannt. Nach 1536 wurden einige Hütten auf der Lichtenscheid errichtet, aus denen später das Dorf erwuchs. "
"154","178","DE","settlement","Vermutlich 1122/25 an der Burg Altena, die für die Markgrafen errichtet wurde, entstanden. 1367 erhielt sie das Privileg der Freiheit und stieg zu einem selbstständigen Flecken auf. "
"156","179","DE","settlement","Als Bunon erwähnt. Es war Sitz eines landgräflichen Amtes und Gerichts."
"158","186","DE","settlement","Ab ca. 800 das Zentrum der slawischen Landschaft Plisni (Pleißenland). Am altsorbischen Burgwall bildete sich die Burgsiedlung Pauritz. Im 11. bis 13. Jahrhundert war Altenburg eine Kaiserpfalz, wobei sich ab dem 11. Jahrhundert bereits frühstädtische Entwicklungen zeigten. "
"160","188","DE","settlement","Erste Erwähnung der Burg Celle vor 1007, womöglich 983. Die Siedlung bekam um 1249 das Stadtrecht verliehen, wurde jedoch 1292 3 km Allerabwärts verlegt, zum heutigen Standpunkt Celles. Die ursprüngliche Siedlung ist darauf als Altencelle bekannt geworden."
"162","193","DE","settlement","Frühere Belege mischen sich zu denen von Geseke und sind noch nicht abschließend geklärt."
"164","197","DE","settlement","Ist auf die Gründung einer Pfarrkirche zurück zu führen. "
"166","203","DE","settlement","Vermutlich Ort einer von Karl dem Großen einberufenen Volksversammlung der Ostsachsen. 970 werden dem Kloster Thankmarsfelde vom Erzbischof Gero von Köln und seinem Bruder Markgraf Thietmar Salzquellen in Ostersalzhusen (OT von Staßfurt) geschenkt, womit das Marktrecht an Altstaßfurt verliehen wurde. 1035 wird der Markt von Altstaßfurt nach Nienburg verlegt. "
"168","210","DE","settlement","Ursprunglich hieß das Dorf Gandersheim bis das 852 gegründete Reichsstift den Namen übernahm. Daraufhin wurde die alte Siedlung bekannt als Altgandersheim."
"170","212","DE","settlement","1076 wurde Haren dem Münsterer Bischof verkauft, der eine Burg errichtete. Der Name Haren ist später auf die neuere Siedlung am Emsufer übergegangen, die im 13. Jh. entstand. Daraufhin wurde die ältere Siedlung als Altharen bekannt."
"172","238","DE","settlement","Entsteht aus der Gründung einer Glashütte im Jahre 1691 heraus."
"174","241","DE","settlement","Erstmals erwähnt 1236. Ab ca. 1300 eine Vogtei, später ist ein Gericht nachgewiesen."
"176","242","DE","settlement","Zisterzienserkloster, zwischen 1123 und 1135 gegründet. Nach den Annales Cistercienses zogen 1135 Abt und Konvent in das Zisterzienserkloster ein. 1568 wurde das Kloster evangelisch."
"178","248","DE","settlement","Der Ort mit einer Kirche ist im 13. Jh. entstanden. 1253 erstmals nachweisbar. Die Kirche wurde vermutlich 1221-23 von den Dänen gebaut."
"180","253","DE","settlement","Ende des 3. Jahrhunderts auf dem Stein von Tongern erwähnt. Ursprünglich ien befestigtes römisches Kastell, der eine Siedlung an der römischen Rheinstraße beilag. Im Mittelalter war es Königshof der Franken. 1167 wurde es dem Erzbischof von Köln geschenkt. "
"182","255","DE","settlement","Während der Erbwerbungen der Uckermarken durch die Askanier, zwischen 1232 und 1250, entstand am Südufer des Mündesees eine askanische Grenzburg, die Siedlern Schutz bieten sollte. Der Burgort wurde erstmals 1263 im Zusammenhang mit 'Henricus de Angermunde' erwähnt."
"184","259","DE","settlement","Der Ort wurde erstmals 977 als 'locus' erwähnt. Die Pfarr- und Wehrkirche S. Nicolai wird ab 1169 belegt. Ab dem Ende des 12. Jahrhunderts öfters als 'villa' erwähnt."
"186","261","DE","settlement","Seit dem 13. Jahrhundert war Annaburg das Jagdschloss der askanischen Kurfürsten. Der sächsische Kurfürst Friedrich der Weise starb dort in seiner Lieblingsresidenz. Bis 1572 hieß das Dorf Lochau oder Locha. Annaburg besaß wohl bis 1572 das Stadtrecht, welches später nicht mehr anerkannt wurde. Wann genau die Privilegien vergeben wurden, ist nicht klar."
"188","264","DE","settlement","Dorf zum Rittergut Oberpahlen-Schloss."
"190","273","DE","settlement","Um 1200 existierte eine Burg. Ab 1550 besaß Apen eine Festung, die später Amtssitz und Marktflecken wurde. "
"192","277","DE","settlement","Wurde 1022-32 in einer Stiftungsurkunde durch Bischof Siegfried zu Münster einer Pfarrkirche zugewiesen."
"194","285","DE","settlement","1184 wurde eine Benediktinernonnenkloster gegründet, wobei schon ein Dorf existiert haben muss. "
"196","287","DE","settlement","In der zweiten Hälfte des 14. Jhs. wurde die Arensburg erbaut, Residenz der Bischöfe von Ösel-Wiek. Dabei entstand ein Hakelwerk."
"198","288","DE","settlement","Errichtung einer Burg um 1300 zur Kontrolle des Bergpasses bei Steinbergen, Ersterwähnung 1385. Möglicherweise stand an gleicher Stelle die im 12. Jh. erwähnte Steinburg."
"200","295","DE","settlement","925 ist eine Burg Arneburg belegt, die von Heinrich I. Grenzstätte zum slawischen Gebiet errichtet wurde. 978 wird ein Geschlecht von Arneburg erwähnt. Die Burg wird Ende des 10. Jahrhunderts zerstört und 1006 von Heinrich II. wieder aufgebaut."
"204","301","DE","settlement","Bevor es 704 als Herrensitz des Thüringischen Herzogs erwähnt wurde, befand sich eine altthüringische Siedlung am Verkehrsweg über das Gebirge gen Mainfranken. "
"206","302","DE","settlement","1159 erste sichere Nennung der Burg, seit 1387 ist sie Besitz der Grafen von Mansfeld. Die Burg wurde schon 1736 ruinös aufgefunden."
"208","303","DE","settlement","Vermutlich bereits frühgeschichtliche Besiedlung vor der ersten Erwähnung als Hoscno 1234. 1281 als Ausstellungsort einer markgräflichen Urkunde genannt. Begann als eine germanische oder slawische Dorfsiedlung, ein Burgwall, vermutlich von Deutschen erbaut, ist 1364 erwähnt."
"210","306","DE","settlement","Mit der Gründung eines Augustinerinnenklosters erwähnt. 1492 wurde dieses Kloster in ein Antoniterkloster umgewandelt. 1526 wurde das Kloster aufgehoben und eine Residenz durch die Grafen von Waldeck eingerichtet. "
"212","309","DE","settlement","Dorf und Rittergut, weche 1417 genannt wurden. "
"214","313","DE","settlement","Dorf zum Rittergut Rathshof, welches 1582 erwähnt wurde."
"216","317","DE","settlement","Erstmalig erwähnt wurde Aschaffenburg zwischen 496 und 506 als alemannische Höhensiedlung."
"218","322","DE","settlement","Im 9. Jh. als Besitzung des Klosters Fulda erwähnt, 1086 in den Besitz des Klosters Ilsenburg gegeben und seit dem 11. Jahrhundert in den Besitz der Grafen von Ballenstedt übergegangen."
"220","329","DE","settlement","Asseln wurde im 9. Jh. zum ersten Mal erwähnt. "
"222","331","DE","settlement","Erstmals im 14./15. Jh. erwähnt. "
"224","332","DE","settlement","Die Erstnennung von 779 ist laut Niemeyer unklar. Graf Konrad von Solms-Braunfels gründete hier 1587 die Aßlarer Eisenhütte."
"226","335","DE","settlement","Erstmals 1153 erwähnt. Um 1448 lag Astfeld wüst. Eine neue Siedlung entstand wahrscheinlich südlich des mittelalterlichen Ortes."
"228","338","DE","settlement","Erstmals 1072 erwähnt, Ab dem 9. Jahrhundert war bereits eine Pfarrkirche vorhanden. Es liegt an der Kreuzung von zwei alten Fernhandelswegen."
"230","340","DE","settlement","Erwähnung in einer Schenkungsurkunde Ottos I. an das Moritzkloster in Magdeburg (MGH DD O I, nr. 74, S. 153f.)."
"232","342","DE","settlement","Rittergut in bischöflichem Besitz. "
"234","349","DE","settlement","Erstmals 1159 erwähnt."
"236","350","DE","settlement","Vorhanden waren eine Burg und vermutlich auch ein Markt."
"238","351","DE","settlement","Um 1150 wurde die Pfarrkirche St. Lamberti gegründet, an sie schloss sich Aurich als Marktsiedlung an. Die Siedlung wurde erstmals um 1250 in friesischen Rechtsquellen erwähnt."
"240","366","DE","settlement","spätestens im 8./9. Jh. gegründet "
"242","374","DE","settlement","Um 1000 erstmals erwähnt"
"244","375","DE","settlement","Eine Ersterwähnung liegt für 1175 vor. 1249 wurde der Ort 'villa' genannt. "
"246","376","DE","settlement","In Baddeckenstedt lag der Haupthof der Burg Wohldenberg."
"248","382","DE","settlement","Ersterwähnung 1157 (MGH DF I 187). Erwähnung 1197 in einer Schenkungsurkunde an das Kloster Walkenried."
"250","387","DE","settlement","Erstmals 1256 erwähnt."
"252","418","DE","settlement","Um 785 erstmals erwähnt. Otto I. verlieh dem Ort im 10. Jahrhundert Markt-, Münz- und Zollrecht. Spätestens nach der Zerstörung der Stadt 1189 verlor Bardowick an Bedeutung zugunsten Lüneburgs."
"254","420","DE","settlement","Eine Wasserburg zum Schutz eines Straßenübergangs sollte 1247 vom Grafen von Hoya angelegt sein. Ein Flecken ist vermutlich im 15. Jh. entstanden, wird 1530 erstmals erwähnt."
"256","425","DE","settlement","Um 1000 erstmals in der Corveyer Heberolle erwähnt. "
"258","431","DE","settlement","Erstmals 1271 erwähnt."
"260","440","DE","settlement","Der Ortsname wird erstmals in einem Heberegister der Abtei Werden von 890 erwähnt, die Siedlung ist jedoch deutlich älter. Zudem besaß der Ort Fleckenrechte. Wann diese verliehen wurden, ist allerdings unklar."
"262","464","DE","settlement","Die Gründung eines Kanonissenstifts erfolgte zwischen 846 und 850; seit 1207 als Benediktinerkloster geführt. Das Stift wurde kurz nach der Gründung mit königlichen Rechten ausgestattet und nahm die alleinige Grundherrschaft in Bassum ein. 1542 wurde die erste lutherische Klosterordnung eingeführt und das Kloster in ein evangelisches Damenstift umgewandelt. Im 16. Jh. besaß der zugehörige Ort Weichbildrechte und vermutlich auch Fleckenrechte."
"264","476","DE","settlement","Die Burg und die älteste Kirche des Orte existierten wohl schon im 10. Jahrhundert. Zuvor jedoch slawische Besiedlung. Im Nordwesten der Burg entwickelte sich ein 'suburbium', welches die Spreefurt sichern sollte."
"266","478","DE","settlement","Im frühen 10. Jh. erstmals erwähnt, damals aus vier Höfen bestehend, später kamen zwei dazu."
"268","482","DE","settlement","Ersterwähnung Anfang des 9. Jh im Breviarium Sancti Lulli."
"270","519","DE","settlement","Wahrscheinlich bestand schon vor 900 eine befestigte Siedlung um die Kirche. Zudem wurde später eine Grenzburg errichtet. Somit entwickelte sich der Ort zur Marktsiedlung."
"272","536","DE","settlement","Ersterwähnung in einem Lehnsbrief von 1319. 1344 erbaute Graf Heinrich IV. von Honstein die Burg Benneckenstein, um die sich die Siedlung weiter entwickelte. Friedrich der Große verlieh 1741 das Stadtrecht."
"274","541","DE","settlement","Erstnennung in einer Tauschurkunde Heinrichs V. 1112."
"276","544","DE","settlement","Siedlung bei einer Burg, erstmals erwähnt um 1050. Im 16./17. Jh. besaß der Ort stadtähnliche Rechte, erhielt jedoch erst 1865 das Stadtrecht."
"278","558","DE","settlement","Königin Adelheid schenkt dem Stift Quedlinburg 953 unter anderem das Dorf Berga. "
"280","561","DE","settlement","Erstmals 1162 erwähnt als Kirchdorf mit Pfarrkirche St Petri und Pauli, bestand jedoch bereits vorher als Kirchspiel Hamburgs. Um 1212 wird das Bergedorfer Schloss zum ersten Mal genannt. Es kam 1420 in Besitz der Stadt Hamburg."
"282","568","DE","settlement","Ursprünglich eine kleine Gutssiedlung mit Rittergut. Im 15. Jahrhundert profitierte der Ort vom aufblühenden Bergbau."
"284","575","DE","settlement","Erstmals 1248 erwähnt."
"286","577","DE","settlement","Die Klöster Fulda und Hersfeld hatten im 9. Jahrhundert Besitz in diesem Dorf. Anfang des 16. Jahrhunderts wurde Berka zum Marktflecken erhoben. Erst 1847 zur Stadt ernannt."
"290","584","DE","settlement","Stadtgründung im frühen 13. Jh."
"292","586","DE","settlement","961 Erwähnung einer Burg Brandanburg in einer Schenkungsurkunde Ottos I. an das Moritzkloster in Magdeburg (MGH DD OI, 231, S. 316f.). Für Ende des 10. Jahrhunderts lässt sich auf dem Bernburger Schlossberg archäologisch eine frühmittelalterliche Grabenanlage nachweisen. "
"294","598","DE","settlement","Erstmals 1221 erwähnt; 1231 'villa' genannt. Im gleichen Jahr wurde ein Zisterzienserinnenkloster gegründet. Das Kloster war ein wichtiger Landbesitzer bis es 1787 geschlossen wurde."
"296","610","DE","settlement","Erste urkundliche Erwähnung fand der Ort 1362. Aufgrund des Bether Gnadenbildes, welches um 1380 bis 1400 enstanden sein soll, gilt die Siedlung ab 1448 als Wallfahrtsort. Jedoch scheinen die ersten Wallfahrten früher, nämlich zur Entstehungszeit des Gnadenbildes, aufgekommen zu sein. "
"298","616","DE","settlement","Im 15. Jh. wurde in Bettmar ein Wartturm der Hildesheimer Landwehr gebaut."
"300","623","DE","settlement","Der Ort Beuren wird 1128 erstmals erwähnt. Gründung eines Klosters vor 1200. 1550 Ende des Klosters, nachdem es im Bauernkrieg schwere Schäden erlitten hatte."
"302","652","DE","settlement","Erstmals zwischen 856 und 866 in Besitz des Klosters Corvey erwähnt."
"304","657","DE","settlement","Erstmals um 1000 erwähnt"
"308","695","DE","settlement","Die Siedlung existierte vermutlich schon im 10. Jahrhundert. Laut der Überlieferung soll Bischof Benno 1076 den bereits bestehenden Marktflecken zur Stadt ausgebaut haben."
"310","698","DE","settlement","Vermutlich gab es eine Burg oder einen Burgwall, die allerdings urkundlich nicht festgehalten ist. Stadtrechte wurden nie förmlich verliehen, obwohl der Ort 1375 als Stadt bezeichnet wird und 1413 ein Rathaus bezeugt ist - die Bezeichnung als Flecken oder als Stetlein schwankt im 15./16. Jahrhundert."
"312","705","DE","settlement","Vermutlich gab es eine slawische Vorsiedlung. "
"314","710","DE","settlement","1123 wird erstmals die Blankenburg erwähnt. Der Ort unterhalb der Burg wird 1195 als oppidum genannt. "
"316","711","DE","settlement","Die Siedlung ist erstmals 1301 erwähnt und an einer Anlegestelle der Elbfähre entstanden. "
"318","713","DE","settlement","Eine Burg wurde 1279 erwähnt, das Dorf 1252 erstmals genannt. "
"320","714","DE","settlement","Erstmals erwähnt zwischen 969 und 996."
"322","717","DE","settlement","Herzog Wilhelm von Lüneburg versuchte 1209 das Dorf Bleckede zur Stadt Löwenstadt zu erheben. Der Versuch scheiterte, und 1258 ist der Ort unter seinem alten Namen Bleckede als Flecken genannt. 1271 ist erstmals eine Burg erwähnt."
"326","721","DE","settlement","Der Ort wurde urkundlich erstmals 1546 erwähnt; er geht jedoch auf den Familiennamen 'Blexen' zurück, der bereits 1506 erwähnt wird. Um 1570 wird eine Herberge erwähnt."
"330","745","DE","settlement","Erstmals 1197 erwähnt."
"332","757","DE","settlement","Erstmals im 11. Jh. erwähnt."
"334","763","DE","settlement","837 erfolgt die Gründung des Benediktinerinnenklosters "
"336","767","DE","settlement","Siedlung bei einer Burg der Herren von Steinberg, ab 1359 im Besitz der Herzöge von Braunschweig. 1545 wird Bodenburg als Flecken erwähnt."
"338","770","DE","settlement","Erstmals 1130 erwähnt. Ab 1290 ist eine Burg genannt und 1323 wurde der Ort zum Weichbild. "
"342","782","DE","settlement","Im 10. Jahrhundert das erste Mal erwähnt."
"344","784","DE","settlement","Die Lage am Handelsweg Prag-Zittau begünstigte die Entwicklung der Siedlung zur Stadt."
"346","794","DE","settlement","Erstmals erwähnt zwischen 1260 und 1275. Das hinzugefügte 'Vreschen' taucht 1428 zum ersten Mal auf um die Siedlung von Bokel in der Gemeinde Wiefelstede zu unterscheiden."
"348","801","DE","settlement","Erstmals 1397 erwähnt. Es ist jedoch möglich, dass die 1381 in den Mindener Stadtbüchern genannte Person Hinrik Balhorst eine Variante des Ortsnamens aufzeigt."
"350","826","DE","settlement","Niemeyer spricht hier von einer Siedlungsentstehung im Ende des 3. Jahrhunderts."
"354","839","DE","settlement","Im 9. oder 10. Jahrhundert erstmals genannt. 1201 bis 1203 als 'villa' bezeichnet."
"356","848","DE","settlement","Ursprünglich slawische Siedlung, die im Laufe der deutschen Ostexpansion im 12. Jahrhundert als neue Stadt gegründet und ausgebaut wurde."
"358","869","DE","settlement","Ersterwähnung im 10. Jahrhundert."
"360","876","DE","settlement","Erwähnung im Breviarium sancti Lulli aus dem 8./9. Jahrhundert."
"362","884","DE","settlement","Ersterwähnung 1330/52. 1450 bestand das Dorf aus 13 Höfen."
"364","887","DE","settlement","Schneider datiert den Ort in das 10. Jh."
"366","889","DE","settlement","Erstmals 826-876 erwähnt."
"368","894","DE","settlement","Schneider spricht von einer wüsten Burg, die im 12. Jh. Erwähnung findet"
"370","908","DE","settlement","laut Schneider handelt es sich um eine Ersterwähung in einer unechten Urkunde; nächste Nennung wäre 980 zu verorten"
"372","916","DE","settlement","Erstmals erwähnt wird der Ort 1306 bzw. dessen Burg, die archäologisch jedoch an das Ende des 10. Jahrhunderts datiert wird. "
"374","917","DE","settlement","Erstmals 836 erwähnt. "
"376","919","DE","settlement","1271 wird das Dorf erstmals genannt."
"378","922","DE","settlement","1097 erstmals erwähnt. Das entwickelte sich bis ins 16. Jahrhundert zum Flecken."
"380","923","DE","settlement","Erstmals im 13. Jh. als ""villa Bramstede"" erwähnt; seit 1448 als Flecken gekennzeichnet."
"382","924","DE","settlement","Vereinigung aus den Dörfern Erbisdorf und Brand; Brand wird 1441 das erste Mal erwähnt, Erbisdorf 1209. Brand entwickelte sich ab 1500 als selbständige Bergmannssiedlung."
"384","927","DE","settlement","Landwehr zwischen Lübeck und Mecklenburg. Hier gab es eine Zugbrücke und Schlagbaum, erstmals erwähnt 1256, sowie ein Dorf das ""vor kurzem gegründet"" sei. Eine Gastwirtschaft wird 1410 erwäht."
"386","928","DE","settlement","Bistumsgründung durch Otto I., zuvor bereits eine slawische Siedlung. 983 wird der Bischofssitz an die Wenden verloren und über die folgenden Jahrzehnte immer wieder gewonnen und verloren. Er wird schließlich 1157 durch Markgraf und Erzbischof von Magdeburg endgültig zurückerobert. Sie residierten auf der heutigen Dominsel, während sich um 1147 bereits Prämonstratenster in der nahen Siedlung Pardiun niedergelassen hatten, welche um 1160 zur Altstadt wurde. Eine Neustadt folgt um 1170, sie wird 1197 erstmalig erwähnt. Während der ersten Hälfte des 13. Jahrhunderts wird der Dombau fertig gestellt."
"388","942","DE","settlement","Erstmals urkundlich erwähnt wurde Braunschweig 1031 in einer Weihurkunde der Kirche St. Magni. "
"390","961","DE","settlement","Wahrscheinlich geht der Ort aus einer slawisch-sorbischen Siedlung mit Burg hervor. Ein Dorf, welches ab 1201 ein Nonnenkloster beherbergte, entwickelte sich in der Nähe der Burg"
"394","973","DE","settlement","Seit etwa 780 existierte eine bürgerliche Siedlung an der heutigen Straße Tiefer am Weserufer sowie ein kirchliches (bischöfliches) Zentrum auf einer Flussdüne."
"396","975","DE","settlement","Der Ort entstand bei einer durch Herzog Lothar von Sachsen im 12. Jh. angelegten Wasserburg an einer Ostefurt. Nach 1219 Hauptburg der Bremer Erzbischöfe. Der Ort besaß im 14. Jh. Weichbildrecht nach dem Hamburger Stadtrecht."
"398","987","DE","settlement","Erstmals zum Ende des 12. Jahrhunderts erwähnt. Die Siedlung geht womöglich auf eine fränkische Gründung zurück."
"400","989","DE","settlement","Fischerdorf am linken Hochufer der Oder"
"402","1007","DE","settlement","Eine Ersterwähnung im 10. Jh. ist nicht vollends gesichert."
