"ID","Nodes_ID","Name","Continuation_From_ID","From","To","Description","Category","Date","Fixed_Day","Fixed_Month","Weekday","Before_After","Date_Depends_On","Start_Max","Start_Min","End_Min","End_Max"
"40","5430","","","1540","1543","This horse fair was one of two horse fairs instituted during the Gueldern Wars by William II, Duke of Guelders (William V of Jülich, Cleves and Berg). It existed for three years only, between 1540 and 1543. ","local","movable","15","5","Wednesday","before","Fixed date","","","",""
"41","5430","","","1540","1543","This horse fair was one of two horse fairs instituted during the Gueldern Wars by William II, Duke of Guelders (William V of Jülich, Cleves and Berg). It existed for three years only, between 1540 and 1543. ","local","fixed","16","10","","","","","","",""
"42","7714","","","1447","","This horse fair started eight days before St James. Four days before, the market right starts. ","local","fixed","17","7","","","","-4","","",""
"43","7714","","","1447","","This cloth fair on St. James' Day lasted three days. The market right lasted a day longer. It has been moved to Petri ad Cathedram in an unknown year. ","local","fixed","25","7","","","","","","3","4"
"44","7714","","","1447","","Day before St. Victor.","local","fixed","9","10","","","","-4","","",""
"45","7714","","","1447","","This three-day cloth fair started an octave after the day before St. Victor. The market right lasted a day longer. ","local","fixed","16","10","","","","","","2","3"
"47","8701","","","1294","","The Pentecost fair, first mentioned in 1294, was shifted to the day before Pentecost in 1316. A total of 14 days of market rights were granted per fair. ","local","movable","","","Saturday","before","Pentecost","-7","","","7"
"49","8701","","","1294","","The fair of St. Michael, first mentioned 1294, was probably shifted to the day before St. Mauritius in 1315/16. A total of 14 days of market rights were granted per fair.","local","fixed","21","9","","","","-7","","","7"
"50","8701","","","1492","","The horse and cattle fair on Tuesday after Invocavit was granted to Zaltbommel by Charles of Egmond, duke of Guelders, in 1492. The accompanying safe-conduct was valid from four days before until four days after the day of the fair. ","local","movable","","","Tuesday","after","Invocavit","-4","","","4"
"51","8701","","","1492","","The horse and cattle fair on the Day after St. Luke was granted to Zaltbommel by Charles of Egmond, duke of Guelders, in 1492. The accompanying safe-conduct was valid from four days before until four days after the day of the fair.","local","fixed","19","10","","","","-4","","","4"
"76","5623","","","1243","","Fair on St Vitus","regional","fixed","15","6","","","","","-1","1",""
"78","5623","","","1243","","St Margaret","local","fixed","17","9","","","","","-1","1",""
"80","8884","","","1392","","Seven-day fair of St James","regional","fixed","25","7","","","","","-3","3",""
"82","8884","","","1392","","Seven-day fair on the second Sunday after Easter","regional","movable","","","","","Misericordia","","-3","3",""
"84","8899","Achtentag","","1181","","Fair on the eight days after the Dedication day of the monastery church (Nativity of the Virgin Mary), which possibly went back to the 1181 market privilege. The stand fee for the fair had to be paid to the provost of the monastery before 1565, afterwards to the count, and from 1615 to the town. The duration of the fair was temporarily restricted to three days around 1565.","regional","fixed","8","9","","","","","","7",""
"86","3026","","","1462","","Seven-day fair on the Monday before St Michael, founded before 1462.","regional","movable","29","9","Monday","before","Fixed date","","","6",""
"88","3026","","","1563","","Fair on Monday after Oculi, with market freedom three days before and after.","local","movable","","","Monday","after","Oculi","","-3","3",""
"90","3026","","","1563","","Fair on Monday after Exaudi, with market freedom three days before and after.","local","movable","","","Monday","after","Exaudi","","-3","3",""
"92","3240","","","","","Fair on Cathedra Petri","local","fixed","22","2","","","","","","",""
"94","3240","","","","","Fair on Cantate Sunday","local","movable","","","","","Cantate","","","",""
"96","3240","","","1300","","Fair on St Simon and Jude","local","fixed","28","10","","","","","","",""
"98","7973","Stoppelmarkt","","1298","","Fair on the Ascension of St Mary (Dedication day of the local church), which probably goes back to ca. 1220. Letters of free conduct were issued around 1300 for four days before and after the market day. Around 1577, it was moved to a terrain outside of the city, because of pestilences and lack of space. After that date, the fair became known as Stoppelmarkt, either from the stubbles ('stoppeln') on the fields on which the fair was held, or as a corruption of staple market ('stapelmarkt').","regional","movable","15","8","Monday","after","Fixed date","-4","","","3"
"100","7973","","","1306","","A fair on St Gallus is mentioned in 1306, for which letters of safe conduct are known until 1345. According to an account of 1613, the fair took place on Sunday and Monday after St Dionysius.","local","movable","9","10","Sunday","after","Fixed date","","","1",""
"102","8917","","","1437","1787","Fair on Sunday before Laetare","local","movable","","","","","Oculi","","","",""
"104","8917","","","1437","1787","Fair on Sunday before Simon and Jude","local","movable","28","10","Sunday","before","Fixed date","","","",""
"108","4958","","","977","1527","Fair on the Nativity of the Virgin and St Gorgonius, discontinued in 1528.","regional","fixed","8","9","","","","","","",""
"112","4958","","","977","1527","Fair on St Martin.","regional","fixed","11","11","","","","","","","13"
"114","4958","","","977","1527","Fair on Candlemas, discontinued in 1528.","regional","fixed","2","2","","","","","","",""
"116","4958","","112","1528","","St Martin's fair was set on the eight days before St Martin in 1528.","regional","fixed","11","11","","","","","-7","",""
"118","4958","","","1528","","Fair on eight days after St Walburga.","regional","fixed","1","5","","","","","","7",""
"120","8925","","","1590","","Fair on Monday after Reminiscere.","local","movable","","","Monday","after","Reminiscere","","","",""
"122","8925","","","1590","","Fair on Monday after St John the Baptist","local","movable","24","6","Monday","after","Fixed date","","","",""
"124","8925","","","1590","","Fair on Monday after St Lawrence.","local","movable","10","8","Monday","after","Fixed date","","","",""
"126","942","","","1385","1504","New year's fair","regional","fixed","1","1","","","","","","",""
"128","942","","","1385","1504","Fair on St Walpurga","regional","fixed","1","5","","","","","","",""
"130","942","","","1385","1520","Fair on St Giles","regional","fixed","1","9","","","","","","",""
"132","942","","","1439","","Fair on the dedication day of the church of the Pauline fathers (Sunday Jubilate).","local","movable","","","","","Jubilate","","","",""
"134","942","","","1439","","Fair on the dedication day of the church of the Franciscans (Sunday Rogate).","local","movable","","","","","Vocem","","","",""
"136","942","","","1439","","Fair on St John.","local","fixed","24","6","","","","","","",""
"138","942","","126","1505","1520","The new year's fair, which had been moved to a date before Christmas earlier, was moved in the market privilege of emperor Maximilian of 1505 to the day after the Immaculate Conception, the duration extended to 10 days.","regional","fixed","9","12","","","","","","9",""
"140","942","","128","1505","1520","The fair on St Walpurga was moved to Friday after Ascension Day and extended to 10 days in the market privilege of emperor Maximilian of 1505.","regional","movable","","","Friday","after","Ascension","","","9",""
"142","942","","130","1521","","The market of St Giles was extended to a fair of 6 days in 1521.","regional","fixed","1","9","","","","","","5",""
"144","942","","138","1521","","The fair on the day after the Immaculate Conception, previously the new year's fair, was shortened to 6 days in 1521.","regional","fixed","9","12","","","","","","5",""
"146","942","","140","1521","","The fair after Ascension Day, previously on St Walpurga, was moved to the second week after Easter in 1521 and shortened to 6 days.","regional","movable","","","Monday","after","Misericordia","","","5",""
"148","1177","","","1353","","Three-day fair on Sunday before St Walpurga.","local","movable","1","5","Sunday","before","Fixed date","","","2",""
"150","1177","","","1353","1411","Three-day fair on St Maurice.","local","fixed","22","9","","","","","","2",""
"152","1177","","","1353","","Three-day fair on Sunday before St Martin.","local","movable","11","11","Sunday","before","Fixed date","","","2",""
"154","1177","","150","1412","","The St Maurice fair was moved to Sunday after the Ascension of Mary in 1412.","local","movable","15","8","Sunday","after","Fixed date","","","","2"
"156","122","","","1220","","Fair on St Nicholas and the day after, which is mentioned in 1501 to take place ""according to old custom"".","local","fixed","6","12","","","","","","1",""
"158","122","","","1220","","Fair on Sunday Letare and the day after, mentioned in 1501 as taking place ""according to old custom"".","local","movable","","","","","Letare","","","1",""
"160","122","","","1456","1618","Fair on St Vitus (in case of a Sunday: on the next Monday)","local","fixed","16","6","","","","","","",""
"162","122","","","1456","1618","Fair on Thursday before St Gallus","local","movable","16","10","Thursday","before","Fixed date","","","",""
"164","122","","","1456","","In 1456, the Goslar council declared, that a fair was to be held in Alfeld on Sunday before All Saints' day.","local","movable","1","11","Sunday","before","Fixed date","","","",""
"166","50","","","","","Monday after Invocavit.","local","movable","","","Monday","after","Invocavit","","","",""
"168","50","","","","","Monday after Oculi.","local","movable","","","Monday","after","Oculi","","","",""
"170","50","","","","","Monday after the day of the seven martyrs.","local","movable","10","7","Monday","after","Fixed date","","","",""
"172","50","","","","","Fair on St Dionysius.","local","fixed","9","10","","","","","","",""
"174","0","","","1398","","St Walpurga","regional","fixed","1","5","","","","","","","5"
"176","0","","","1380","","Duke Otto founded a fair in 1380 from Wednesday after Pentecost until the day before Corpus Christi. In 1399, it is called Trinity market.","regional","movable","","","Wednesday","after","Pentecost","","","8",""
"178","0","","","1398","","St James","regional","fixed","25","7","","","","","","","5"
"180","0","","","1398","","St Simon and Juda","regional","fixed","28","10","","","","","","","5"
"182","2758","","","1136","","Market on St. Gallus' day, established by bishop Reinhard.","local","fixed","16","10","","","","","","",""
"184","2765","","","","1469","New Year's fair in Halle","local","fixed","1","1","","","","","","8",""
"188","2795","","","1445","","A fair of St Giles is mentioned in 1445.","local","fixed","1","9","","","","","","",""
"190","2795","","","1399","1443","Fair on St Simon and Jude, which was replaced by St Walpurga's fair in 1444.","local","fixed","28","10","","","","-1","","","1"
"192","2795","","","1399","1443","Fair on Maundy Thursday, mentioned in 1399. It must have disappeared by 1444, when no fair in Hannover is said to have been organised except the fair of St Walpurga.","local","movable","","","Thursday","before","Easter","","","",""
"194","2795","","","1399","1443","Fair on St James, mentioned in 1399. It must have disappeared by 1444, when no fair in Hannover is said to have been organised except the fair of St Walpurga.","local","fixed","25","7","","","","","","",""
"196","3050","","","1300","1459","Fair on the Annunciation. According to the stand fees in the town accounts from 1379 onwards, this was the most visited of the Hildesheim fairs, but it was replaced by new fairs in 1460.","local","fixed","25","3","","","","","","1",""
"198","3050","","","1300","1459","Fair on the Ascension of the Virgin Mary.","local","fixed","15","8","","","","","","",""
"200","3050","","","1300","1459","Fair on St Michael's day.","local","fixed","29","9","","","","","","",""
"202","3050","","","1310","1459","The 1310 statutes of the retail merchants' guild mention a fair on St Gotthard.","local","fixed","5","5","","","","","","1",""
"204","4653","","","1300","","Fair on St Michael's Day.","regional","fixed","29","9","","","","","","",""
"206","4705","Herrenmesse","","1179","","The ""Herrenmesse"" is first mentioned in name in 1010. The first mention in a record occurs in 1179, but a connection with a fair can be assumed to have occured sooner. At the beginning of the 1460s a quarrel between the town lord and the town erupted concerning the fair, which led to the decision to hold the fair from the day after St. Mauritius' day until St. Michael's day.","regional","fixed","23","9","","","","","","8",""
"208","1","","","1336","1717","Three-day fair on Sunday after St John","local","movable","24","6","Sunday","after","Fixed date","","-1","1",""
"210","1","","","1336","1717","Three-day fair on Sunday after St Bartholomew","local","movable","24","8","Sunday","after","Fixed date","","-1","1",""
"212","1","","","1336","1717","Three-day fair on Sunday after St Andrew","local","movable","30","11","Sunday","after","Fixed date","","-1","1",""
"214","6712","","","1360","","St Dionysius","local","fixed","9","10","","","","","","",""
"216","6712","","","1360","","Sunday before Pentecost (Neustadt)","local","movable","","","Sunday","before","Pentecost","","","",""
"218","7894","","","1448","","Fair on Sunday Letare (mid-Lent).","local","movable","","","","","Letare","","","",""
"220","7894","","","1448","","Fair on St John's Day.","local","fixed","24","6","","","","","","",""
"222","8336","","","1410","","Invocavit sunday","local","movable","","","","","Invocavit","","","1",""
"224","8336","","","1410","","Pentecost","local","movable","","","","","Pentecost","","","2",""
"226","8336","","","1410","","Birth of the blessed virgin Mary","local","fixed","8","9","","","","","","1",""
"228","8336","","","1410","","St. Nicolas's day","local","fixed","6","12","","","","","","1",""
"230","4705","","","1448","1448","In 1448 two new three-day fairs are established, one of them on Wednesday after the Assumption of Mary. In following years the fairs are not mentioned anymore.","local","movable","15","8","Wednesday","after","Fixed date","","","2",""
"232","4705","","","1448","1448","In 1448 two new three-day fairs are established, one of them on Monday after Misericordia (2nd Sunday after Easter). In following years the fairs are not mentioned anymore. ","regional","movable","","","Monday","after","Misericordia","","","2",""
"234","4337","","","1458","1465","In 1458 prince electorate Friedrich granted the right to establish another one-week fair from New Year's until Epiphany. This led to conflict with Halle and Magdeburg. In 1497 the fair was confirmed by Maximilian I. (who hadn't been crowned emperor at this point!) including safe conduct of three weeks, in 1507 extended by a ban zone ('Bannmeile') of 15 miles and a staple.","interregional","fixed","1","1","","","","","","6",""
"236","2765","","184","1470","","The establishment of a New Year's fair in Leipzig led to a conflict with Halle. After several confirmations and revocations of both the Leipzig and Halle New Year's fairs (even a ban on the Halle New Year's fair in 1468), it was decided in 1470 that the New Year's fair in Halle would be held after the end of the fair in Leipzig.","regional","fixed","16","1","","","","","","8",""
"238","3050","","200","1460","1522","The fair of St Michael was the only old fair that remained in existence after 1460 and it was prolonged to 6 days.","regional","fixed","29","9","","","","","-3","2",""
"240","3050","","","1460","1475","Fair on six days around Misericordia Sunday, which was founded in 1460.","regional","movable","","","","","Misericordia","","-3","2",""
"242","3050","","240","1476","1522","The date of the fair on Misericordia Sunday was slightly changed to the entire week after the said Sunday in 1476.","regional","movable","","","Monday","after","Misericordia","","","5",""
"244","4705","","","1497","1499","In 1497 two new fairs were established, one of them from Monday to Wednesday after Corpus Christi. In 1499 the visit of the market was forbidden by the duke of Saxony due to competition with Leipzig.","local","movable","","","Monday","after","Sacramentum","","","2",""
"246","4705","","","1497","1499"," In 1497 two new fairs were established, one of them from Monday to Wednesday after Circumdederunt. In 1499 the visit of the market was forbidden by the duke of Saxony due to competition with Leipzig.","local","movable","","","Monday","after","Cicumded","","","2",""
"248","1826","","","1331","1496","Four-week spring fair after Misericordia Domini until Pentecost, granted by king Ludwig of Bavaria in 1331.","interregional","movable","","","","","Misericordia","","","21",""
"250","1826","","","1473","1496","Three-week fair on Trinity Sunday, granted by Frederick IV. in 1473.","interregional","movable","","","","","Trinitatis","","","21",""
"252","1826","","248","1497","","The spring fair was moved to Pentecost by emperor Maximilian in 1497 and limited to two weeks.","regional","movable","","","","","Pentecost","","","14",""
"254","1826","","250","1497","","The Trinity Sunday fair was moved to St. Martin's day by emperor Maximilian in 1497 and limited to two weeks.","regional","fixed","11","11","","","","","","14",""
"256","1987","Fastenmesse","","1330","1383","Lent fair, privileged by Emperor Louis the Bavarian in 1330, and equipped with a safe conduct of eight days before and after the fair. An inprecise date of 14 days around Letare is mentioned in 1349, in 1366 it was more precisely defined as lasting from Oculi until Judica Sunday.","interregional","movable","","","","","Oculi","","","14",""
"258","1987","Frauenmesse","","1227","1383","The ""Frauenmesse"" ('Our Lady's fair') or autumn fair from the Ascension until the Nativity of Mary.","interregional","fixed","15","8","","","","","","24",""
"260","973","","","965","1381","Autumn fair, which took place on seven days before St Willehad (8 November), according to a 1035 privilege. In 1288 it took place on the Birth of the Virgin Mary. The 1339 privilege for retail traders ('krämer') mentions the eight days after the Birth of the Virgin Mary.","regional","fixed","8","9","","","","","","7",""
"262","973","","","1035","1381","A fair on the seven days before Pentecost was privileged in 1035. The 1339 retail traders ('krämer') privilege mentions the eight days after Pentecost.","regional","movable","","","","","Pentecost","","","7",""
"264","973","","262","1382","1637","In 1382, the beginning of the Spring fair is mentioned to be Sunday after Corpus Christi. The fair was replaced by two new ones in 1638.","regional","movable","","","Sunday","after","Sacramentum","","","7",""
"266","973","","260","1382","1637","In 1382, the Autumn fair is mentioned to take place in the week after St Dionysius.","regional","fixed","9","10","","","","","","7",""
"268","8447","","","1298","","Fair on St Ulrich, the importance of which must have declined in the 15th century; in 1507, it is re-founded as three-day fair.","local","fixed","4","7","","","","","","2",""
"270","8447","","","1312","1500","Fair on St Simon and Jude, probably disappeared in the 15th century.","local","fixed","28","10","","","","","","",""
"272","8447","","","1507","1528","Fair on St George, disappeared in 1529.","local","fixed","23","4","","","","","","2",""
"276","1790","","","1440","","Eight days before Laetare Sunday","regional","movable","","","","","Oculi","","","7",""
"278","1790","","","1440","","Eight days after St Michael","local","fixed","6","10","","","","","","7",""
"280","8974","","","1497","","Fair on St Giles, first mentioned in 1497","regional","fixed","1","9","","","","","","7",""
"282","8974","","","1310","","Pentecost market","regional","movable","","","","","Pentecost","","","7",""
"284","8974","","","1311","","Market on St John. The market does not seem to have enjoyed a great importance, possibly due to competition from the St John's market in nearby Landegge.","local","fixed","24","6","","","","","","7",""
"286","2036","","","1497","1564","Eight-day fair on St Giles","regional","fixed","1","9","","","","","","7",""
"288","2036","","","1497","1564","Eight-day fair on the day of the Eleven Thousand Virgins","regional","fixed","21","10","","","","","","7",""
"290","2036","","","1369","1496","Fair on Thursday before St John","regional","movable","24","6","Thursday","before","Fixed date","","","",""
"294","2777","","","1188","","Fair on the Ascension of Mary in the Neustadt.","regional","fixed","15","8","","","","","","",""
"296","2777","","","1188","","Fair on St Vitus in the Neustadt. It was followed by a horse market of probably 8 days.","regional","fixed","15","6","","","","","","","8"
"298","2777","","","1000","","Fair on St Felicianus in the Altstadt. A founding date is not known, but it probably goes back into the 11th century. It was followed by a horse market of probably 8 days.","regional","fixed","20","10","","","","","","","8"
"300","2777","","","1365","1383","Three-week Pentecost fair, founded by Emperor Charles IV in 1365, which was not well received. Five years after the death of the Emperor, the fair was cancelled.","local","movable","","","","","Pentecost","","","20",""
"302","2777","","","1435","","Eight-day horse market on Sunday after Lent.","regional","movable","","","","","Letare","","","7",""
"304","2777","","","1471","","Four-day horse market three weeks before Estomihi.","local","movable","","","Sunday","before","Cicumded","","","3",""
"306","2777","","","1471","","Four-day horse market on Sunday Oculi.","local","movable","","","","","Oculi","","","3",""
"308","2777","","","1471","","Four-day horse market on Palm Sunday.","local","movable","","","","","Palmarum","","","3",""
"310","2777","","","1471","","Four-day horse market on All Apostle's day.","local","fixed","15","7","","","","","","3",""
"312","122","","160","1619","","The fair on St Vitus was extended to 3 days with a cattle market in 1619.","local","fixed","15","6","","","","","","2",""
"314","122","","162","1619","","The fair on St Gallus was extended to three days with a cattle market in 1619.","local","movable","16","10","Thursday","before","Fixed date","","","2",""
"316","3050","","242","1523","","The fair on Misericordia Sunday must have been shortened to three days between 1488 and 1523.","local","movable","","","","","Misericordia","","-1","1",""
"318","3050","","238","1523","","The fair of St Michael was shortened to three days between 1488 and 1523.","local","fixed","29","9","","","","","-1","1",""
"320","3050","","","1523","","The fair on the Annunciation was revived as a three-day fair between 1488 and 1523.","local","fixed","25","3","","","","","-1","1",""
"322","3050","","","1488","","A new three-day fair on Wednesday after Pentecost was installed between 1488 and 1523.","local","movable","","","Wednesday","after","Pentecost","","-1","1",""
"324","4337","","","1170","","The fair from Sunday Jubilate until Cantate was one of the two oldest fairs of the town and may date back to the foundation of the town in 1170. In the 15th century it grew to have international significance. In 1497 the fair was confirmed by Maximilian I. (who hadn't been crowned emperor at this point!) including safe conduct of three weeks, in 1507 extended by a ban zone ('Bannmeile') of 15 miles and a staple.","interregional","movable","","","","","Jubilate","","","7",""
"326","4337","","","1170","","The eight-day-fair on Sunday after St. Michael's day was one of the two oldest fairs of the town and may date back to the foundation of the town (in other places it is postulated that it was moved from Zeitz to Leipzig). It grew to have international significance in the 15th century. In 1497 the fair was confirmed by Maximilian I. (who hadn't been crowned emperor at this point!) including safe conduct of three weeks, in 1507 extended by a ban zone ('Bannmeile') of 15 miles and a staple.","interregional","fixed","29","9","","","","","","7",""
"328","1987","Fastenmesse","256","1384","1393","The Lent fair, of which the duration was often exceeded, was extended with two weeks in 1384. However, the extension was reverted again after ten years.","interregional","movable","","","","","Oculi","","","28",""
"330","1987","","258","1384","1393","The autumn fair was extended with two weeks in 1384, but the extension was reverted again after ten years.","interregional","fixed","15","8","","","","","","38",""
"332","1987","","328","1394","1478","In 1394, the end of the Lent fair was set to Friday before Palm Sunday.","interregional","movable","","","","","Oculi","","","18",""
"334","1987","","330","1394","1398","In 1394 it was decided that the autumn fair was to last not longer than until the Nativity of Mary.","interregional","fixed","15","8","","","","","","30",""
"336","1987","","334","1399","","The Frankfurt council decided in 1399 in agreement with the merchants, that the old duration of the autumn fair, between the Ascension and the Nativity of Mary, was to be restored.","interregional","fixed","15","8","","","","","","23",""
"338","1987","Fastenmesse","332","1479","1499","The Frankfurt council decided in 1479 after frequent disregard of the official dates, that the Lent fair was to last not longer than until the Sunday before Easter, and allowed a four-day trade period before and after the fair. This was a situation that probably had been practised already since the mid-14th century.","interregional","movable","","","","","Oculi","","","22",""
"340","1987","Fastenmesse","338","1500","","Despite frequent admonitions of the Frankfurt council to stick to the dates set for the Lent fair set in 1479 (Oculi Sunday until the Sunday before Easter), the fair was often organised at a later date. For example in 1502, it began on Palm Sunday and ended 14 days after Easter. In the 16th and 17th century, it was usually organised between Judica Sunday and Tuesday after Easter.","interregional","movable","","","","","Judica","","","16",""
"342","1","","","","1717","Fair on Sunday after Estomihi","local","movable","","","","","Invocavit","-1","","","1"
"344","8447","","","1507","1528","Fair on the day of the Eleven thousand Virgins","local","fixed","21","10","","","","","","2",""
"346","8447","","344","1529","","Fair on St Dionysius","local","fixed","9","10","","","","","","2",""
"348","1379","","","1601","","A fair for cattle, horses and retail on four days before St Dionysius was founded by the count of Delmenhorst in 1601. Consequently, his brother, the count of Oldenburg, prohibited his subjects to visit the market. The fair must have declined afterwards, as it was re-installed in 1653.","local","fixed","6","10","","","","","","",""
"350","5623","","","1608","","Quasimodogeniti","local","movable","","","","","Quasimodo","-1","","","1"
"352","5623","","","1608","","St Michael","local","fixed","29","9","","","","-1","","","1"
"354","4653","","","1300","","Fair on Sunday Jubilate.","local","movable","","","","","Jubilate","","","",""
"356","4475","","","1306","","Fair on the day of the 11000 Virgins.","local","fixed","21","10","","","","","","",""
"358","5704","Herrenmesse","","1002","1490","The four-day ""Herrenmesse"" or Dedication day of the cathedral took place on St Crispin and Crispinian and probably went back to the market privilege of 1002.","regional","fixed","25","10","","","","","","3",""
"360","5704","","","1002","","A four-day market on mid-Lent probably goes back to the market privilege of 1002.","regional","movable","","","","","Letare","","-3","",""
"362","5704","Neuer Markt","","1190","1491","The four-day ""new market"" on the Exaltation of the Holy Cross is first mentioned in 1190 and disappeared between 1471 and 1491.","regional","fixed","14","9","","","","","","3",""
"368","2840","","","1307","","Eight-day fair on Sunday Laetare","regional","movable","","","","","Letare","","","7",""
"372","4881","","","1300","1496","Fair on St Michael","regional","fixed","29","9","","","","","","",""
"376","4881","","","1482","1577","Cattle fair on Wednesday before 1 May","local","movable","1","5","Wednesday","before","Fixed date","","","",""
"378","4881","","","1482","1577","Cattle fair on Wednesday before Pentecost","local","movable","","","Wednesday","before","Pentecost","","","",""
"380","4216","","","1238","","Fair on Pentecost","regional","movable","","","","","Pentecost","","","",""
"382","4216","","","1238","","Fair on St John","regional","fixed","24","6","","","","","","",""
"384","4216","","","1328","","Fair on the Nativity of Mary","regional","fixed","8","9","","","","","","",""
"388","280","","","1327","","Fair after the Octave of Easter","local","movable","","","Monday","after","Quasimodo","","","",""
"390","280","","","1327","","Fair after the Nativity of Mary","local","fixed","9","9","","","","","","",""
"392","280","","","1327","","Fair on the octave of Epiphany","local","fixed","13","1","","","","","","",""
"394","4309","","","1508","","St Gall's market, founded in 1508","local","fixed","16","10","","","","","","",""
"396","4309","","","1528","","Market of the Holy Cross, founded in 1528. Besides butter and cheese, the market was important for the sale of flax from the surrounding countryside.","local","fixed","14","9","","","","","","",""
"398","8240","","","1508","","St Bartholomew's market, founded in 1508.","local","fixed","24","8","","","","","","",""
"400","351","Stille Markt","","1440","","""Silent market"" on Laetare Sunday","regional","movable","","","","","Letare","","","",""
