"ID","Parent_ID","Name","Alternative_Name","Latitude","Longitude","Geonames_ID","Ready","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Toll","Toll_From","Toll_To","Toll_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Fair","Fair_From","Fair_To","Fair_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description"
"12","","Güntersen","Gunteresu; Guntherssen; Gunterßen; Ghunterssen","51.5379","9.7408","913592","y","y","1059","","First mentioned in 1059.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","","Imbsen","Immesin; Ymmessen; Imszen; Ymbsen; Imbsen","51.5208","9.7287","2896428","y","y","1093","","First mentioned in 1093. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","Varlosen","Vereldehusen; Uereldehusen; Verldehosen; Verlidehosen; Ferlehosen; Ferlehusen; Verlehussenn; Varloisszen; Varlehusen; Varlhausen; Varlosen","51.5027","9.7095","2817850","y","y","1093","","The settlement was first mentioned in 1093.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","Bühren","Buriun; Buren; Buhrenn","51.4841","9.6855","2941880","y","y","826","","The settlement was first mentioned between 826 and 876.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","Gimte","Gemmet; Gimmeth; Gymmit; Gympt; Gemyt; Gimmette","51.438339","9.640875","2920359","y","y","970","","First mentioned in 970.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","18","","","51.41919","9.6528","","y","","","","","","","","","","","","","","","","","","","","","","","","","","y","1329","","The Werra bridge in Münden is first mentioned in 1329. It was rebuilt in stone with seven arches in 1397-1402. A bridge toll was mentioned in the 15th century.","","","","","","","",""
"18","","Hann. Münden","Münden; Hannoversch Münden; Gemunden; Gemunde; Gimundi; Gmunden; Gemundin; Munden","51.417743","9.65191","2867613","y","y","1049","","The older settlement Altmünden west of the Fulda river is first mentioned around 800; the newer settlement on the opposite shore in 1049.","y","1183","","Possibly a planned town was founded around the middle of the 12th century at the confluence of the Werra and Fulda in the Weser river. It is first mentioned as the town Münden around 1182-85.","","","","","y","1247","1823","3.0","The basis for the Münden staple was its location at the confluence of the Werra, Fulda and Weser rivers. Natural and man-made barriers in the river arms forced transshipment to other vessels for further transportation on one of the three rivers. The town was granted a staple privilege by the duke of Brunswick-Lüneburg in 1247, although the document is probably a falsification made during a conflict with Kassel in 1319 about the salt trade. The staple privilege was confirmed by emperor Rudolf II in 1597. The shipping regulations from 1653 mention the right of Münden skippers to sail past the town, whereas skippers from other towns were obliged to unload their cargo in Münden. Moreover, the Münden skippers sought to acquire a privilege for shipping between Münden and Kassel. The staple led to numerous conflicts, mostly with Kassel, in the 16th and 17th centuries. Although the staple privilege does not discern between river and land traffic, it seems that it was only applied to river traffic.","","","","","","","","","","","","","","","","","","","",""
"21","","","","51.53529","9.91889","","y","","","","","","","","","","","","","","","","","","","","","","","","","","y","1285","","A box for collecting transit fees was placed on the bridge in the 15th century.","","","","","","","",""
"23","","Rosdorf","Rasthorp; Rastherpe; Rostorpe; Rostorph; Rostorff; Rostorppe","51.503566","9.898433","2845131","y","y","1004","","First mentioned in 1004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","Mengershausen","Meyngererhusun; Mangereshusun; Mengershusen; Meingershusen","51.490675","9.868669","2871954","y","y","826","","First mentioned between 826 and 876.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","","Vorwerk Heißental","Heißenthal; Hesledale; Heslendal; Hesledal; Heysendal; Heistindal; Heistendal; Hesendal; Heyssendale; Heseldal; Heissindal; Hessendal; Hessintal; Hoitzkendale; Hoitzendale; Heistendal; Heitzendal; Heistindael; Heyttzendall; Heszendael; Heissendall; Heisendahl; Heißendal; Heissenthal","51.481","9.823","2907120","y","y","1251","","The folwark was built in the 17th century near the settlement of Heistendal, which had been abandoned in the 15th century and was first mentioned in 1251.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","Jühnde ","Iuniun; June; Iunen; Juine; Junde; Juende","51.463157","9.799425","2894576","y","y","960","","First mention of the settlement in 960. A castle is first mentioned in the 13th century, the St Martin's church in 1271.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","Meensen","Manisi; Mamese; Manese; Meinse; Menise; Gropenmeinse; Gropenmense; Meynse; Grobmense; Mense; Großmenße; Meynssen; Mensze; Mäensen; Meinsen","51.441402","9.760138","2872523","y","y","990","","First mentioned in 990.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","Wiershausen","Vuizzereshuson; Wyckershusen; Wigershusen; Wygershusen; Wierßhusen","51.425841","9.711377","2809397","y","y","990","","The settlement was first mentioned in 990.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","Grone","Grona; Gronaa; Gruonaha; Gruona; Grune; Gronte; Oldingrone; Aldingrone; Veteri-Grone; Aldengrune; Oldengrona; Oldengrone; Olden Grone","51.534957","9.894283","2917131","y","y","915","","Northeast of the current Göttingen quarter Grone on the street to Harste, there existed the royal palace Grone and a connected settlement named Burggrone, which are first mentioned in 915 and 1101 respectively. The castle was destroyed by Göttingen citizens in 1294 and again in 1387, after which Burggrone was abandoned. The later village and current quarter Grone developed from the farm Altgrone, which belonged to the palace and is first mentioned in 1118-1137.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","Olenhuser Warte","Olenhäuser Warte","51.5076","9.8558","","y","y","1414","","Watchtower in the defensive enclosure ('landwehr') of Göttingen, built on a hill north of the road. The road was closed off with a boom barrier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","","Settmarshausen","Sedemanneshusen; Sithmanneshusen; Sidemanneshusana; Setmanshußen; Settmerßhausenn","51.5068","9.8316","3207221","y","y","1239","","First mentioned in 1239.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","Klein Wiershausen","Widerkeshusen; Wyderikeshusen; Widershusen; Wierszhusenn; Wierßhusen","51.5072","9.8153","3207211","y","y","1303","","First mentioned in 1303.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","","Varmissen","Vermelsen; Vermissen; Vermessen; Vermelsen; Farmesen; Varmißen","51.5067","9.7917","2817848","y","y","1311","","First mentioned in 1311.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","","Dransfeld","Trhenesfelde; Dransvelt; Thransfellensem; Triensvelt; Dransfelde; Transfeldun; Thransfelde; Drinsfelt; Transwelde; Dransveld; Transvelt; Dransvelde; Transfeldt; Dransfeldt","51.502875","9.759786","2935326","y","y","960","","Perhaps a settlement developed around a church of St Martin, founded in the 9th century. Dransfeld was first mentioned in 960.","y","1368","","Traditionally, it is assumed that town privileges were acquired in or before 1305, but it is likely that the settlement was only a borough ('flecken') at that point. Full Münden town privileges were granted by Duke Otto of Brunswick in 1368.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","","Wellersen","Walieressun; Wilredesheim; Weldersen; Wellerdessen; Wilredessen; Welersen; Wellerssen; Welryczen","51.482361","9.721445","2811493","y","y","1015","","First mentioned between 1015 and 1036. In the Middle Ages a village, nowadays only a manor. It is unknown whether the village was only partially abandoned or that it disappeared completely with the manor being built later.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","","Niederscheden","Scheden; Nederen Scheden; Inferiori Scheiden; Nieder Schneeden; Niederscheeden","51.459117","9.721278","2862911","y","y","1317","","The settlement Scheden, first mentioned in 1046, was divided into Niederscheden and Oberscheden, of which the former was first mentioned separately in 1317. In modern times, both settlements have grown together again.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","","Volkmarshausen","Folcmareshusen; Uolcmereshuson; Volcmershusen; Volgmershusin; Folkmerssen; Folkmershusen; Volkmerssen; Volkmershausen; Volckmerßhausen; Volgmarshusen","51.446283","9.666086","2816615","y","y","700","","First mentioned between the 8th and the 9th century. In 1345, a boom barrier was built here as part of the defensive enclosure ('landwehr') of Münden.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","","Lenglern","Lenglere; Lanclerion; Lanclere; Lancrion","51.585515","9.872977","2878820","y","y","966","","First mentioned in 966.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","","Holtensen","Holthusen; Holzhusen; Holtzhaußen","51.561641","9.891546","2900212","y","y","1250","","The settlement was first mentioned in the middle of the 13th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","","Reinser Turm","","51.79913","9.87859","","y","y","1407","","Watchtower of the defensive enclosure ('landwehr') of Einbeck, close to the former village Reinsen, built in 1407. It was first mentioned in 1454. Demolished in 1800.","","","","","y","1548","","A toll of the Amt Salzderhelden, which was levied at the Reinser Turm, was first mentioned in 1548.","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","","Strodthagen","Struthagen; Strothagen; Stroythagen; Stroitshagen","51.763686","9.888643","2825782","y","y","1312","","At the Sülberg in Strodthagen there existed a regional law court, which was moved later into the settlement and is still mentioned in the 16th century as local court.","","","","","y","1394","","The toll is mentioned in charters from 1394 and 1395 and was still levied in the 18th century.","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","","Buensen","Buggonhuson; Bukkenhusen; Buckennosen; Buwensen","51.7533","9.8974","2942059","y","y","1120","","First reference in 1120.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","","Pilshäger Warte","Pilshager Warte; Pilshäger Turm; Pilshagen; Pyleshaghen; Pfeilshagen; Pylshagen; Pilshäger Thurm","51.7297","9.8986","","y","y","1383","","Watchtower, erected by duke Otto I the Evil of Brunswick-Göttingen between 1383 and 1394.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","","Moringen","Maranga; Morungen; Marungun; Moringin","51.698832","9.870282","2869257","y","y","1002","","First mentioned in 1002-1003. There was a royal court here, and from 1158 a castle of the Dukes of Brunswick-Lüneburg.","y","1350","","The date of acquisition of town rights is unclear. Already in the middle of the 14th century, there existed an urban community; Uslar town privileges are reiterated in 1384.","y","1514","","A ""new"" toll in Moringen is pawned by duke Erich of Brunswick-Calenberg to Cord von Mandelsloh in 1514.","","","","","","y","1390","","Moringen acquired the right to hold a fair four times: in 1390 on St Margaret, founded by duke Otto I of Brunswick-Göttingen; in 1432 on St Michael, founded by Otto II; in 1582 on the Presentation of Mary, founded by duke Erich; and in 1684 on Sunday Judica, founded by duke Ernst August.","","","","","","","","","","","","","","","",""
"48","","Thüdinghausen","Thutiggehusen; Tudyngehusen; Tugingehußen; Tugehausen; Dudinghausenn; Tudhusen","51.6668","9.868","2822610","y","y","1139","","First mentioned in 1139.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","","Gladebeck","Gledabiki; Gladebike; Gladebeke; Gladenbeke; Glake","51.6189","9.85111","2920231","y","y","1015","","First mentioned between 1015 and 1036. A castle of the dukes of Brunswick existed here possibly since 1318, first mentioned in 1447. It must have dilapidated in the late 16th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","Einbeck","Embecka; Einbike; Enbiche; Enbike; Enbeka; Einbeche; Embeke; Embike; Eimbike; Enbyke; Eymbecke; Eymbeke; Eimbecke; Eimbek","51.81823","9.86698","2931804","y","y","1024","","First mentioned in the time of Emperor Conrad II (1024-1039) as ""predium"" (estate) of count Udo of Katlenburg. The monastery of St Alexander was founded before 1085. South of it, a market settlement developed in the late 12th century.","y","1279","","Einbeck was mentioned as ""civitas"" in 1203 und 1239. A council is first mentioned in 1252, a town wall in 1264, and a ""new"" market in 1266. Braunschweig town privileges were granted in 1279.","y","1417","","The safe conduct in Einbeck was changed into a road and bridge fee in 1417.","","","","","","y","1252","","","","","","","","","","","","","","","","","",""
"51","","Geismar","Gesmaria; Geismare; Geismariam; Geysmaria; Geißmer; Geußmar","51.510497","9.95688","2921641","y","y","1055","","First mentioned 1055.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","","Diemardener Warte","","51.49395","9.96901","","y","y","1409","","Watchtower ('warte') was part of the enclosure ('Landwehr') of Göttingen, built in 1409. It still exists today.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","Klein Lengden","Lengidi; Lengithi; Lengithe; Inferiori Lengede; Minori Lengede; Lutteken Lengede","51.49598","10.006407","2888565","y","y","701","","First mentioned in the 8th or 9th century as 'Lengidi'. At first there was only Lengden, since 1022 a distinction was made between Groß- and Klein Lengden.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","","Wittmarshof","Wittmarsdorf; Witmereshusen; Witmershusen; Vintmarishusen; Wetmarishusen; Wetmershusen; Wethmarshusen; Withmarshusen; Witemershusen; Witmarstenhusen; Witmarshusen; Wettmarshausen; Wittmarshoff; Wetmarshausen; Withmershausen; Witmarshoff; Wettmarshof","51.4895","10.0306","2807228","y","y","1022","","First mentioned in 1022. Originally called Wittmarshausen, it is mentioned to have been (partially?) abandoned in the 15th century. In the 16th century, the name Wittmarshof appears, which is probably related to its resettlement as folwark.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","","Gelliehausen","Gelingehuson; Gelinghusen; Geylingehusen; Gellihusen; Gelnhusen","51.475285","10.055014","2921492","y","y","990","","The settlement was first mentioned in a forged document from the 12th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","","Bischhausen (Eichsfeld)","Bischhausen; Bischoppeshusen; Biscopeshusen; Bissoueshusen; Byshusen; Bißhußen; Bischopshusen; Bishusen; Bishausen; Bischhausen","51.447041","10.082109","2948327","y","y","1189","","First mentioned in 1189.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","","Siemerode","Symrade; Simeroda","51.422663","10.120482","2832371","y","y","1055","1420","The settlement was first mentioned in 1055. In the 15th and 16th century the settlement was deserted, it is unclear when it was resettled. In 1693 the ""parochia in Simeroda"" is mentioned, which is probably means that it has been resettled in the meantime.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","Fegebankswarte","Beberberger Warte; Beber-Warte; Beverwarte; Vegebankswarte; Bebrawarte; Feygebankswarte; Vegebangkeswarthe; Feigebanckswarte; Fegebanks-Warte; Freyghebanks-Warte","51.4061","10.1158","","y","y","1479","","Watchtower at the ditch ('Landwehr') surrounding Heiligenstadt. Plenary diets ('Landtag') of the Eichsfeld were held here. Demolished in the third decade of the 19th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","","Heilbad Heiligenstadt","Heiligenstadt; Helingunstat; Helingestat","51.377396","10.137345","2907545","y","y","973","","Heiligenstadt was founded as a missionary-centre and as a King's Court during the 9th and 10th century. Marketplace in the 11th century.","y","1227","","Archbishop Siegfried II. of Mainz gave town privileges in 1227.","y","1294","","In 1294 the archepiscopal rights for tolls and safe conduct were moved from Beuren to Heiligenstadt.","","","","","","y","1460","","Heiligenstadt owned four fairs in 1460, two more were added later.","","","","","","","","","","","","","","","",""
"61","","Niedergandern","Gandera; Gadra; Gandera Inferioris; Nederen Gandera; Nederingandera; Neddergandra; Nederen Gandre; Nedderngander; Niddergandera; Nederengandere; Nedern Gandern; Nederen Gander; Nyderngander; Nedderngandera; Nieder Gandern; Niedergandra; Nieder Gander","51.3924","9.9373","2863426","y","y","1294","","The settlement Gandern, first mentioned in 1118-1137, was divided into the three parts Nieder-, Hohen- and Kirchgandern, of which Niedergandern is first mentioned separately in 1294.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","","Hohengandern","","51.374389","9.943174","2935139","y","y","1300","","Formerly part of the Eichsfeld of Mainz, it was pawned off to the family of Hanstein in the 14th century. The manor in Hohengandern was still in the property of the family of Hanstein in the early 20th century.","","","","","y","1624","","Hohengandern was a main toll station since 1624. Safe conduct zones ended here.","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","","Arnstein ","Burg/ Schloss Arnstein","51.360774","9.908368","2955435","","y","1248","","Local nobility is mentioned in 1248.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","","'s-Heerenberg","de Berga; de Monte; de Berge; ’s Heerenberch; Burg; Berga; van den Berge; Herenbergensis; Graven Berge","51.875076","6.243247","2747357","","y","1122","","Earliest mention dates from 1122-1131. ","y","1379","","Town privileges granted on 8 September 1379 by Willem I, count of Bergh and lord of Bylant, knight.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","","Aachen","Aquis; Aquisgrani; Ahha; Ais em ma chapelle; Aix-la-Chapelle; Aken","50.776489","6.083815","3247449","","y","769","","First mentioned in 769, Aachen was the primary residence of the Carolingians and place of coronation for over 30 German kings.","y","1166","","Aachen was granted town rights, as well as market and mint rights, as ""caput civitatum"" (head of towns) and as ""caput et sedes regni Theutonici"" (head and seat of the German kings) on 8 January 1166 by Emperor Frederick Barbarossa. The document became known as the ""Karlsprivileg"" and made the town to a free imperial city.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","","Lejasciems","Aahof","57.278332","26.575287","458151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","","Aijen","Oyen; Ayen; Aien; Aegen; Aeyen; Aaien","51.587301","6.039789","2759932","","y","1336","","Earliest mention in 1336. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","Aalborg","Alaburg;Aleburgh","57.048071","9.919455","2624886","","y","700","","Archeological excavations have revealed a viking age seasonal market. Around 1000 AD a church was built, and Aalborg now seems to have been a permanent settlement with an urban character. ","y","1000","","Around 1040 king Hardeknud (1035-1042) minted coins in Aalborg, which by now must be considered a town; described as “civitas” by Adam of Bremen c. 1075. Oldest town privileges are lost, by new privileges granted by king Valdemar IV (1340-1375) in 1342. An important royal castle, Aalborghus, is mentioned first in 1340, but presumably older. In 1232 a Franciscan convent was founded. Sometime before 1431 a town hall was built at the medieval town square. A new town hall was built shortly before 1499, but burned down in 1530, and was not rebuilt before after the Count's Feud (Danish: Grevens Fejde) 1534-1536.","y","1400","","The origin of the toll is unclear. But at least from the middle of the 15th century onwards Aalborg was one of the most important royal tolls in Denmark. The first certain evidence of the toll is from 1447. During one of the Dano-Swedish wars, the Torstenson War 1643-1645, a toll building in Aalborg was destroyed, it was rebuilt in 1651.","","","","","","","","","","y","","","","y","","","","y","","","","","","",""
"69","","Aalst","Alost; Alosta; Alst; Aelst","50.938341","4.039006","2803448","","y","866","","Earliest mention in 866, in a eigtheenth century copy. Next mention mention in 868, in a eigtheenth century copy. Next mention in 1088.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","","Aan de Steenweg","De Steenweg","50.79696","5.214439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","Aane","Ane; Anen; Aen","52.613494","6.651288","2759772","","y","1232","","Earliest mention in 1232-1233.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","","Aarhus","Aros","56.157091","10.209522","2624652","","y","800","","","y","800","","","y","1477","","","","","","","","","","","","y","1073","","","y","","","","y","","","","","","",""
"73","","Aarschot","Arescod; Arescoth; Arescot; Aerschot","50.984121","4.836649","2803429","","y","1107","","Earliest mention in 1107.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","","Aasbüttel","Astebutel; Astebuttell","54.065552","9.438879","2959908","y","y","1576","","First mentioned in 1576.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","","Abbenrode","Abbenrothe; Abbenrodhe; Abbenrode prope Elmonem","52.247797","10.725194","2959884","y","y","1086","","First mentioned in 1086.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","","Abja","Abbia; Abia; Abbingen; Abbienn; Abiakh","58.137093","25.369938","592626","","y","1551","","Manor that was first mentioned in 1551.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","","Tishino","Abschwangen; Tischino; Тишоно","54.499859","20.757536","482737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","Abteroda","","50.902795","10.07688","2959783","y","y","1015","","First mention in 1015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","","Achim (Börßum)","Achim; Echeim; Achem; Acheim; Osterachem; Achum","52.058719","10.612653","2959682","y","y","966","","First mentioned as Echeim in 966.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","Achim (Weser)","Achim; Acheim; Achem; Achumb; Hachem; Haghem","53.01297","9.032515","2959681","y","y","1091","","First mentioned in 1091.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","Ackendorf","Akendorp; Ackendorp","52.543148","11.36889","2959607","y","y","1121","","In 1121 given as property to St. Lorenz' monastery near Schöningen. Probably of Slavic origin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","","Adamowice","","51.940605","20.461574","776782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","","Addenstorf","Addenstorff; Addunesthorp; Edelestorpe; Haddestorpe; Adestorpe; Adelstorpe; Addenstorpe","53.0918","10.505246","2959563","y","y","1004","","First mentioned in 1004. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","","Adelhofen","","49.534543","10.158351","2959535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","","Adelshausen","Odolvessen; Odolfshusen; Odolvishusin; Odolpheshusen; Odolfishusen; Odelshusen; Odelshausen; Adels Hausen","51.110102","9.574045","2959509","","y","1209","","First mentioned in 1209. Referred to as 'villa' in 1318. At times desolate at the beginning of the 15th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
